http://movie.douban.com/subject/4935039/	新还珠格格
(1星)	 求皇后娘娘容嬷嬷整死那帮2货！！！！！！！！            
(1星)	 劳资就是想炸了芒果这个死逼台             
(1星)	 哇！！！！！！槽！！！！！！打5星的你们是神马居心？？？？？？！！！！！！            
(1星)	 一星是给林心如面子！！！！！！！！！！！！！             
(1星)	 哇呀 分数怎么可以这么高 瞎了谁的狗眼            
(1星)	  亚洲恐怖电视剧新高峰             
(1星)	 期待成为第一低分剧，我相信豆娘不会为了芒果台再次取消评分系统的。            
(1星)	 恐怖片。。。。慎入！            
(1星)	 我为了豆瓣第一低分而努力            
(1星)	 你妹子的一个预报片就吓史人了好么!!!...女的全都面瘫男的全都锥子脸啊亲...要靠黄桑黄厚嬷嬷来撑一片天么......张益达你一定是来乱入的，快回爱情公寓去吧，吕小布喊你回家吃饭!!!...【友情推荐天涯吐槽楼啊亲】            
(1星)	 听说为了新还猪把步步惊心给挤走了，你妹呀            
(1星)	 98集？不雷死你也折磨死你。从目前的情况看，粉们骂得越厉害，芒果台赚得越肥。            
(1星)	 不给一星对不起天地啊！！！！            
(1星)	 只是看過片花就想來打分，最低的怎麼不是0星？            
(1星)	 你妹！琼瑶奶奶疯了！鉴定完毕。            
(NA)	 鸡同鸭讲：谁还敢说少红姨妈的《红楼梦》是聊斋啊？            
(1星)	 看到个预告我就想吐了            
(1星)	 做尼玛的正版呀！这种电视剧做做盗版写真集不就好了么！劳命伤财呀！            
(1星)	 我突然想起有天看新版红灯记里，一女向一男说道，山无棱天地合才敢与君绝.......................你麻痹！！！            
(1星)	 萌系大陆一骑绝尘高分电视剧之史上传奇             
(1星)	 长得丑还不好好学习将来就只能去演还珠格格            
(1星)	 5颗星给心如~ 剩下的人，倒扣4颗星。            
(1星)	 孙悟空版小燕子和对眼的紫薇 还有那毫无台词功底和演技的五阿哥 以及张益达的尔康和囧字眉的箫剑 林心如和张嘉妮都成仙女了...话说那个外国人是干嘛的 怎么邱心志混迹在这帮人里也不会演戏了啊...            
(1星)	 这个夏天看过新版的还猪鸽鸽还有翻拍的花君，圆满了。            
(1星)	 2b编剧              
(1星)	 评这个片子得换马甲上，评都丢不起这人，完毕。            
(1星)	 劳资就是想炸了芒果这个死逼台 ====哈哈            
(1星)	  亚洲恐怖电视剧新高峰             
(1星)	 必须果断最低分！！！            
(1星)	 其实我想一分都不给的，我真的很少给一分，伤不起啊伤不起，那小燕子的声音可以再恶心一点吗？邓萃雯是没有电视演了吗？干嘛趟这个浑水。            
(1星)	 为什么这么多年国产电视剧的制作水准不进反退呢？★            
(1星)	 小燕子简直。。。。。。。。。。。。。。。。。。。。让我吐槽不能。。。。。。            
(5星)	 你们都没看懂吗！！第一集就是致敬！！！紫薇拦了MT，向历史致敬。不多话，五星。一曲忠诚的赞歌。            
(1星)	 我擦，琼瑶看来是真的老了。            
(1星)	 哎喲~我是來刷低分的╮(￣▽￣&#34;)╭ 正在看首映，估計也不看了，求容嬤嬤和皇后的小黑屋各種虐紫薇╮(￣▽￣&#34;)╭             
(1星)	 这他妈还算是简介吗！！！！！！！！！！！！！            
(1星)	 珍爱生命 。远离烂片 。            
(NA)	 这次我和皇后娘娘是一伙的。            
(1星)	 哪找来的这么丑的演员，伤不起啊。            
(1星)	 老子好不容易看次电视剧 真的瞎了狗眼。。。            
(5星)	 我的标签是：奥斯卡、文艺、 感天动地小甜甜、 爱情经典 。            
(1星)	 我的童年被你毁了            
(1星)	 还珠格格之燕儿翩翩飞/ 还珠格格之风儿阵阵吹/ 还珠格格之人儿何处归/还珠格格之脑儿散成灰            
(1星)	 瞪你妹的眼睛啊！！！！可怕死了好嘛！！！            
