http://movie.douban.com/subject/3113421/	敲敲爱上你
(2星)	这个山寨版的海报啊！！！！
(NA)	海报太仿日剧最后的朋友了
(2星)	海报为什么要学last friend...真够无语了。只是为了看看李小璐而已
(3星)	不得不为明道的演技 多打一颗星
(3星)	还是喜欢冠希啊。
(2星)	一股乡土气息天雷滚滚的扑面而来！！ps：郭品超的演技tmd太烂了太烂了！！
(3星)	本来对明道没有什么感觉，但这部戏却是因为有他我才看下去的。明道同学演的太好了。相较之下，男女主的演技太菜了。
(3星)	怎么看都是喜欢赵冠希啊
(2星)	这大概是我最近看的偶像剧中最差的一部了=A=我也只是挑着镜头才勉强看完的，不停地快进电脑都要抽了~~总之这里面有我最恶心的男女猪脚，李小璐脸像白面鬼，明道演得真不错，要不是赵冠希，我只会打一颗星。
(3星)	越到后来越不好看，唯一收获是对明道另眼相看了
(3星)	嗯，这次看那个明道，印象还蛮好。爱还真是麻烦啊~真可怜啊真可怜~
(3星)	求求编剧让吴亚馨和明道在一起吧~
(3星)	实在看不过女主角选择郭品超不选择明道，所以看了一半没看。
(2星)	以前觉得明道脸大 现在觉得有点小帅。。。有鼻子有眼的...比郭某某好看多了。。
(3星)	明道的赵冠西还是很不错
(2星)	看看明道就得了，其他人演得很不好。结局也不喜欢！
(3星)	20集看下来 明道赚了
(2星)	赵冠希呀，赵冠希.......除了你，我看不到其他人了
(2星)	除了明道饰演的赵冠西颇具吸引力之外，一无是处的一部剧集
(3星)	刚看完，因为是“名著”改编，所以情节再被乱改也差不到哪里去，主要是看美女的，帅哥方面，郭品超长相不错，演技有待提高，明道突破了自己，但是那副面相仍旧太台太不讨喜
(NA)	很残,除了明道
(5星)	明道目前为止比较令我看的顺眼的一部戏
(3星)	郭品超和珠玉在侧这个词也相差太远了吧 没一个符合我看书时的期想 再加这海报 囧了 可惜了明道同学
(1星)	看不下去
(3星)	结局部分改了原著~终于成了俗套的偶像剧~
(2星)	除了明道演的赵冠希以外都很烂，我特别讨厌郭品超，和他演的那个人的个性！！~~  好吧，我无聊的看了这个。不过我得承认，明道还是有点演技的。
(3星)	小璐在这部戏里太装了。台剧演一次就够了，别砸了招牌。
(3星)	实在很喜欢女主.
(3星)	初看上去，姚子望好御...不过编剧实在太恶心了...姚万传为什么那么讨厌他女儿，得到那种父亲的肯定到底有什么意义？到最后面对危机“商界奇才”竟然傻住，太杯具了。赵家两只最杯具，得不到回报也抽不出身，付出感情多的那个总是被伤害，真是两兄妹...
(4星)	强悍精刮的外表，着实为伪装一颗易碎的内心
(3星)	。。。养眼 别无其他
(2星)	你咋能这么不尊重原著呢？
(3星)	结局太太太烂了...
(3星)	这样就结束了？不是我喜欢的大结局...
(NA)	我爱赵冠希！
(NA)	珠玉在侧的瓶，装了一杯乱七八糟的酒，尤其最后两集，说其狗尾续貂都算抬举。
