http://movie.douban.com/subject/4135704/	来不及说我爱你
(5星)	 将一部言情小说拍出看书时幻想的意境着实不易，男女主角功不可没。再加上场数可观的令人春心荡漾的吻戏，床戏，实为色女福利。钟四少终于接到一部能让他红起来的片。他必能凭此片必能俘获无数少女，宅女，已婚妇女的心。            
(5星)	 何润东大S你们看到这个会自卑得想死吧。            
(3星)	 钟汉良的粉丝真是太可怕了            
(5星)	 钟汉良之后，世上再无慕容沣。            
(4星)	 哦，英国有达西先生，我们有钟四少呢。麻烦以后拍言情剧就按这个标准。            
(NA)	 其实没怎么看，只想说，拍言情小说改编的电视剧就是要找这样的演员啊！            
(5星)	 哎呀我了个去的。给力啊这片！比TMD那些偶像剧不知道好多少倍            
(5星)	 有些男人 英俊到让你不能呼吸 他们是我继续做直女的唯一动力...毫无疑问 小哇就是其中一个....            
(5星)	 怀表先生和兰花小姐必须在一起            
(5星)	 阿良真能调情啊            
(5星)	 剧情拍的很细腻，演员表演很到位，哈哈，关键是小哇少帅好帅，小冉人造型好美啊            
(5星)	 这部电视让我注意到了他，演的是如此的深情，感觉他就是四少一样，我很喜欢，我有点怀疑他跟李小冉背地里是不是有情啊？要不为何演的如此的真情实感啊！呵呵 我感觉这两个角色就像是为他们量身定做一样！我喜欢电视，虽然书跟合情合理更接近来不及说我爱你这个主题，但是人老了，还是喜欢大团圆的结局            
(5星)	 绝对经典 其他的翻拍比不上 ~~大赞 大爱！！             
(5星)	 来不及说我爱你。。。但愿来得及遇到你            
(5星)	 优秀的国产偶像剧 情节还是有点俗套 但是男主人公的帅气和各种忘我的吻给本戏填色不少。谁说大陆拍不出偶像剧？偶像剧不仅仅限制在现代，在国民时代，抗战时代，古代的偶像剧才是大陆偶像剧发展的大方向。顺便一说，网上优秀的小说有很多，如果都有机会改编成电视剧就好了。只要不是湖南台拍的就行。            
(5星)	 单纯作为言情剧不错 出彩的是钟汉良的表演很给力            
(3星)	 電視劇 都還沒出來 就打分打成這樣  這是在誤導吧  不要因為某個演員這樣做吧~~            
(NA)	 这个结局太和谐了~            
(4星)	 虽然网上看到了但是我今天才知道的~~~~~~·为什么在那么没影响力的地儿播出啊            
(4星)	 作为我大概期待了一年的电视剧，总的来说还是么有让我太失望的。刚刚看完，最后结局的四傻真的是。。四少的霸气去哪了？难不成是被七年的岁月磨平了？不过发现里面最大的亮点是苏樱，李小冉的演技不错呢。            
(5星)	 好看得不知道如何评论了~            
(NA)	 钟汉良真是太好看了            
(5星)	 钟汉良+李小冉，这搭配就得给100分。            
(5星)	 1、四颗星给帅气怀表先生，一颗给气质兰花小姐。2、那么多的吻戏船戏让人鼻血直流啊，太给力了！3、衣服很现代但很好看，配乐除了那个怀表八音盒外，其他。。。4、后半段剧情。。。我还是喜欢原著的虐啊~5、重点：逆生长的小太阳啊，迷得我神魂颠倒，我果断抛弃其他帅哥，决定以后只喜欢你！！！            
(5星)	 这部剧看得我百爪挠心，虐得我要死要活。小哇太秒杀，小冉演超好。尤其是有很多吻戏和船戏。虽然结局有些……额……但总体来说很好。支持！            
(5星)	 人物气质符合，角色表演细腻，情节处理合理，男女主角对手戏默契十足，感人肺腑啊~            
(5星)	 让钟小哇演四少是多么正确英明=v=            
(5星)	 拍得相当到位，十分给力，让色女看得大呼过瘾~~钟汉良啊，你凭这部剧俘获了多少少女、宅女、妇女、师太的心啊。虽然片中的神曲让人不太能接受，有的时候情节设计有些牵强，但是主角选得实在是好啊！如果你是女生，力荐你看这部剧，不会后悔的~~             
(5星)	 最爱            
(4星)	 我居然无可救药地HC了~极品美男钟小哇，让人神魂颠倒呀。            
(5星)	 很久没看到这样的片子了，说真的；萌死钟小哇了，我就不信看了这个片了还能不萌他的；还有那句，我爱你，一辈子；沧海桑田，还能有你在身边，已是最好的结局            
(4星)	 虽然不如原著，但算是内地改编剧里比较不错的了，除了插曲太煞风景和后半段严重偏题以外。。。快进了大部分，仍旧被结尾感动到。李小冉演技真不是一般二般的厉害。。。            
(5星)	 玛丽隔壁的钟小哇你干脆帅死算了！姐生命中的第N+1春来了~~~~~~~~~~~~~~~~~~~~~~~~~~~~~            
(NA)	 唯一一点不好的就是除了小说之外的台词设计得有点狗血，不过有钟汉良在，你还苛求许多呢？            
(5星)	 静婉沛林演得太好啦~！剧情、配乐的瑕疵什么的都是浮云~JQ满满的一部戏，实乃我等色女之福音~            
(5星)	 啊！帅气的小太阳掩盖掉了冉姐的光辉啊！！！            
(4星)	 其实我就喜欢看前边欲爱不能的霸道桥段。。囧。            
(5星)	 虽然和原作还是有很大的出入，结局改了，不够虐，不过我太爱钟汉良了。五颗星。。。            
(5星)	 很耐人寻味的爱情故事 看完后心情还是无法平静 钟汉良真是迷死人了            
(5星)	 为了喷血的吻戏坚决的马克！为了永远少年的小哇坚定的推荐！            
(5星)	 小哇只应天上有！逆生长啊、把持不住。。。            
(4星)	 改的挺多的，不过想想也是，不加那么多东西怎么能拍成36集？？所幸保留了书中很多感情方面的细节。钟汉良也是个不老妖精，阿基玛们被迷的不行，荡漾啊~~4星完全是给钟汉良钟汉良钟汉良            
(4星)	 小哇的军装撑起了整部剧！=L=            
(4星)	 两个主角选得太成功了！！！            
(5星)	 每天晚上 钟汉良 帅爆了            
(3星)	 肾上腺素送给各种船戏吻戏！            
(5星)	 果然是有两个结局啊 不过还是喜欢happy ending的结局 小说最后沛林听到怀表的音乐还是在傻笑 然后静婉一个人走的实在太悲情            
(5星)	 好看！！！            
(5星)	 好剧 有李小冉 所以我一定看 刚开始一看这狗血的剧名点不下播放键 结果看这剧名看啊看啊看了几天之后今晚终于点下了播放键 看了开头几集 一发不可收拾 好剧啊！喜欢的强调 喜欢的冬天 喜欢的大衣 让俺想到李小冉的《别了温哥华》想到这剧就觉得很美好 所以要一直带着美好的心情看下去看完它            
(4星)	 四颗星都给钟汉良和李小冉了！            
(5星)	 我只是实在觉得俩人配得养眼，再者，钟汉良真得超帅的！！！            
(5星)	 钟汉良演得太好了，细节方面处理得也相当到位，帅气霸气都出来了，不错，值得一看            
(4星)	 拍得很用心，爱得很惊心动魄，吻的也是            
(5星)	 谁要大道理，我只要你们在一起            
(5星)	 帅啊！！HC的我心花怒放啊！剧情就忽略吧            
(4星)	 演员选的真给力~李小冉美翻了，钟汉良也超帅~            
(5星)	 泪奔啊我～多少年没看见这么好看的国产剧了。。。钟小哇，演技无可挑剔啊，太帅了！！            
(4星)	 刚看了两集，武打动作镜头太慢了，不够刺激。场景和服装不错。但总体来说，没有片花播的好看。            
(5星)	 我遇上你 这样迟            
(5星)	 不错，虽说还是更喜欢书，但是角色选得还是蛮好的            
(NA)	 美好的年代剧             
