http://movie.douban.com/subject/2085040/	翡翠恋曲 翡翠戀曲
(3星)	 周丽淇+郑嘉颖             
(3星)	 这个剧简直好像有3个人在写剧本一样，太峰回路转了。最后niki竟然出了车祸，而且二次手术之后就死了，疯了。刘松仁的演技太好了，不管是最开始风度翩翩的绝世好男人，还是后来癫了的恶毒男，都拿捏的好好。            
(4星)	 典型王心慰~喜欢这里的周丽淇+郑嘉颖            
(4星)	 不错的爱情剧，好久不见陈慧珊            
(4星)	 好長情既鄭嘉穎……可惜，周麗淇。。。            
(3星)	 老牛嫩草            
(4星)	 该怎么办 我还是这么爱刘松仁            
(3星)	 额，刘松仁和陈慧珊那对有点违和            
(3星)	 。。。喔我看过。。            
(4星)	 在家看的，我一个人住90多平米的房子，我看的很害怕，            
(NA)	 厄..不知该说好看还是不好看.充满矛盾情绪的一剧.关键是刘松仁!             
(3星)	 光华的月月为此专门有yc一篇：爱上老男人            
(NA)	 不看女人看松仁儿！            
(3星)	 还算是不错吧，陈慧珊和刘松仁都是我喜欢的。            
(NA)	 好老套,郑嘉颖演的人个个都那么讨人喜欢            
(NA)	 很喜欢            
(3星)	 很混乱。我冲着叶璇去的。            
(4星)	 清清爽爽，这里的郑嘉颖不错。            
(3星)	 嗯.TVB传统电视剧.不让人失望.也没有太多惊喜.            
(5星)	 言哥。痛！痛！痛！            
(3星)	 温馨的剧~~~不过有刘松仁在~~~喜欢            
(2星)	 前后不协调...            
(3星)	 其实还不错。            
(3星)	 这样的神展开我真係接受唔到啊啊啊！〒▽〒            
(4星)	 喜欢周丽淇&amp;郑嘉颖，感觉剧中谁有了和合二仙，就不会有好运，本来希儿和柏言挺好的一对，最后弄成这样            
(3星)	 flora配松哥，咋看咋别扭            
(4星)	 KC剪辑版随便看着玩吧，家明哥演技已经不错了。            
(4星)	 估计KC当初接这戏的时候肯定没想过有朝一日刘松仁会摇身一变成他爹还整的他苦逼无比……所以说，出来混迟早是要还的。但从这部戏的造型可以看出，某人的标配应该是西裤、衬衫、西装+刺猬头，别的款式都略逊一筹。            
(NA)	 言哥不敢再看第二遍            
(NA)	 當時好喜歡陳慧珊啊!!! 還買了內地版的碟! 中凱文化 !!!!!!!!!!!!!!!!!            
(NA)	 不记得什么时候看过，但是确实看过- -            
(3星)	 这种故意虐心的剧还蛮无力的            
(4星)	 不错，郑嘉颖那时刚复出，挺惊艳的，比他年少时多了份沧桑，少了稚气。刘松仁很厉害啊，后来我看到他就怕。            
(2星)	 雷！！            
(4星)	 松哥+Niki的组合我还是喜欢的            
(3星)	 结局太狗血            
(5星)	 主题曲~            
(5星)	 很感人的说            
(2星)	 剧情牵强 虎头蛇尾            
(4星)	 亲爱的编剧，请不要这样折腾刘松仁先生了。            
(3星)	 陈慧珊演起小女孩来怎么样都有些装……            
(4星)	 感叹刘松仁的演技，第一次喜欢周丽淇与郑嘉颖的搭戏............            
(2星)	 起初挺好的，有玉石鉴定，有轻松，有爱！突然跑出一傻B女人，外公像悍匪，妈妈是疯子，然后一家门又把爸爸逼上绝路也像疯了，最后莫名其妙“罕家残”，剧终时希和明加孩子在一起，又回到最初之时，太明显隐喻早晚成一家！            
(3星)	 后面剧情有点吓到的,.            
(4星)	 好恐怖的剧情            
(3星)	 家明和Ceci~~~            
(4星)	 上海一周指间沙说的老男人　寒山拾得            
(4星)	 叶璇真的是“英气逼人”……她就适合演倔强的小女子……            
(5星)	 这部戏好看的！！！也很虐！~~~~剧情很棒很紧凑！~~~郑嘉颖在里面迷人死了！            
(3星)	 太急轉直下了，其實挺不捨言哥的            
(3星)	 看过，忘了，很TVB风格。。。。            
(NA)	 看了巡礼，貌似开始是找22演的吧~~            
(4星)	 冲着  郑嘉颖+周丽淇  去的            
(5星)	 NIKI NIKI            
(3星)	 很久之前看的了，剧情早忘光了，感觉还行吧~~就是陈慧珊和刘松仁演情侣好像年龄差距有点大了哦~            
(3星)	 基本上只记得叶璇和唐文龙那段咯。            
(4星)	 依旧是陈慧珊            
(5星)	 这戏的结尾能把我虐死……            
(4星)	 从此以后每次看到刘松仁都纠结            
(5星)	 好看，刘松仁演技太强大了            
(3星)	 我不喜欢刘松仁~            
(5星)	 漂亮的画面，清新的色彩，舒服的音乐，虽然不太出名~~~却让人难以忘怀            
(NA)	 Niki居然被安排死于意外，郁闷啊            
(3星)	 只因为它是郑嘉颖和周丽淇合演的才看的确实没有其他两部好看！！只能说不是我喜欢的风格吧。原来即便是在所有人眼里看来都是好人的人，也不一定是好人。果然人心叵测啊。很多事情只要自己问心无愧便好吧......            
(2星)	 刘松仁后期的片都不怎么样.            
(4星)	 如果没有结局的话这是温馨爱情片，但是事实证明爱情也充满阴谋            
(4星)	 原来香港也有BT结局...            
(5星)	 好喜欢~            
(5星)	 我的初级港片~~那个时侯看上郑嘉颖了~~可惜哈哈他红了            
(NA)	 和合二仙            
(5星)	 最爱周丽淇在这部戏里的角色了            
(2星)	 刘松仁吓死人。            
(4星)	 开始还不错            
(NA)	 KN            
