http://movie.douban.com/subject/2295810/	凤凰传说
(NA)	 明明是ATV的戏～TVB个头！            
(3星)	 从这一部认识超漂亮的文颂娴            
(5星)	 极有可能是人生第一部ATV兼港剧。。对小萝莉来讲产生了很大的影响。。。            
(3星)	 没想到已经15年了。            
(NA)	 记得刘玉婷。            
(3星)	 老片子 喜欢文颂娴和张家辉 最后大团圆 还不错            
(4星)	 没想到过了这么多年了！！！            
(5星)	 那时觉得张家辉如此有型~            
(4星)	 很想再看            
(4星)	 不错。            
(4星)	 有关选美的            
(4星)	 里头的导演沦为高中女的笑谈，后来都模仿过他            
(4星)	 小时候的最爱。            
(4星)	 小时候打发时间看的，也是看了这片，第一次知道选美是靠肉搏战这一潜规则，文颂娴的脸好小啊，张家辉演的那个少爷好好啊。            
(3星)	 开始添加TVB...这是ATV的吧            
(5星)	 非常好看的            
(3星)	 虽然布景服装化妆道具都很土。。。。但是那时候的文颂娴尊滴蛮小家碧玉滴梭~~~可惜装扮把她弄老气了            
(NA)	 小学里多少人说我像文颂娴 可惜我早过了小学里清瘦灵怪的阶段了            
(4星)	 一代的儿时记忆            
(3星)	 当年我还蛮喜欢的！！            
(3星)	 选美题材不错            
(4星)	 小时候觉得文颂娴超级美 现在倒麻麻的了            
(4星)	 我记得小时好爱看~            
(4星)	 在上海的时候看的吧            
(5星)	 当初让我疯狂。            
(4星)	 小时候脚上绑着石膏也要到姐姐家去看最后一集            
(4星)	 小時候看的  重播好幾次             
(NA)	 老长久了呀            
(3星)	 有关选美的故事            
(4星)	 记得里面沈盈盈是个坏女人。方雪明清纯懂事。彩虹是个乡下妹子，还有个谁不幸被我忘了。。。            
(3星)	 当时因为这部戏喜欢上了文颂娴，但是好像只有我有爱～根本没有红起来，人和剧都是。            
(4星)	 还有些印象。            
(NA)	 老片重温            
(NA)	 记忆。            
(4星)	 那时亚视戏也诸多经典啊，曲折的女人戏，小时候印象中第一部讲选美和娱乐圈的片子            
(4星)	 当初看的时候还是满迷的 文颂娴还是适合走可爱路线            
(3星)	 很小时候看的港剧了，当时觉得那莹莹怎么这么作！！文颂娴很好看。            
(4星)	 当时超爱看！            
(3星)	 我我我无话了= =豆瓣是个强地方。我爱文颂娴。可是我前几月刚刚才反应过来男主角是张家辉|||||            
(3星)	 娱乐圈暗箱操作。。。汗。。。            
(NA)	 曲折明星梦            
(3星)	 小时候看得闹.            
(4星)	 其实我并不喜欢女主角，道德感太强都很无趣。            
(NA)	 我记得。我还记得那口红。之前的我都忘了。只记得最后那陌生人对你的话。你的美。            
(NA)	 看来是我看得最早的电视剧了.我居然4岁就看过了.简直是天才.很喜欢张家辉.            
(5星)	 那时候好喜欢这部戏啊，亚视的            
(5星)	 实在是太经典了，那时候超喜欢张家辉的            
(4星)	 这部剧的歌依旧会唱哦。感慨美好的时光            
(NA)	 娱乐圈浮华最能吸引小屁孩了            
(5星)	 其实这是一部八卦剧。力荐的原因是……你仔细看，里面影射了不少香港八卦……            
(4星)	 小时候超喜欢文颂娴            
(NA)	 印象里张家辉第一次不演大反派！文颂娴的角色有点怪。一派小家碧玉，道德感极强。还记得一个新加坡电视剧讲过的选美段子在这里被刘玉婷实践了：“肖邦和希特勒，你要嫁给谁？”“我要嫁给希特勒。这样二战就不会爆发了。”真是选美小姐才有的纯情与智慧啊。。。            
(4星)	 ATV真是有很多经典            
(4星)	 除了演员不对劲，貌似都不是，这个凤凰传说我看过的呀。            
(5星)	 还是喜欢文颂娴             
(4星)	 同样，也是四个女孩的故事，只是时代大背景变了...那时可是大爱文颂娴呀！还有刘玉婷，超美的~            
(4星)	 又是小时候。不过话说文颂娴那个时候已经在演戏了~~            
(NA)	 那时年幼的我很喜欢看的            
(2星)	 哪怕我这么喜欢文颂娴和张家辉，也觉得这片如此地难看            
(4星)	 这个 我好像还没上小学的时候看的吧            
(4星)	 小时候看过，特别喜欢喜欢文颂娴和张家辉这一对啊。            
(3星)	 就只记得文颂娴            
(NA)	 每次都深夜播，没一次从头到尾看完整过            
(NA)	 有点像。突然想起这个。            
(3星)	 tvb这么冷门的我也看过，果然是生于85后，长于电视之手啊。            
(3星)	 还是小学时候看的，记得当时每个礼拜还有关注电视报上的剧情简介。好像当时假期结束的时候，所以后面还有很多集都没看完。这次补了最后一集。当年觉得张家辉有型啊，如今觉得他还不如关咏荷，角色缘故吧。一点也不喜欢文颂娴在这部剧集里的人物，太呆板了。            
(4星)	 ATV难得的好作品            
(NA)	 那时候的文颂娴啊……            
(4星)	 小时候很喜欢看的一部            
(5星)	 很老很强大            
(NA)	 从那时开始喜欢文颂娴，惊艳的感觉。。            
(5星)	 终于找到了 超级无敌经典的片子 看了无数无数遍的港剧            
(5星)	 atv真的擅长拍演艺圈呀。            
(3星)	 喜欢这部剧。文颂娴，刘玉婷，我童年美好的atv回忆            
(5星)	 这个我很爱啊。以前看很多遍的说。文颂娴就这么一直记在心里了            
(4星)	 儿时的回忆。            
(5星)	 经典。            
(3星)	 印象中这是TVB第一部让我感觉到女人之间的斗争 文MM都没怎么变过~            
(3星)	 小时候一直放的....            
(3星)	 潜规则。。。            
(4星)	 如今再看，却有了和年少时不同的感受            
(NA)	 童年时代的最爱            
(3星)	 蛮经典的...当初看的时候很喜欢...            
(3星)	 没有我和春天有个约会好            
(NA)	 很小的时候看过喜欢方雪明            
(5星)	 文颂娴...            
(NA)	 小学时候看过的港剧，算是很老的了吧。。。。            
(NA)	 那时候我还不喜欢文颂娴，但是现在很有爱。            
(3星)	 一直不喜欢文颂娴            
(4星)	 凤凰传说            
(3星)	 爱上文颂闲             
(3星)	 小时候居然还很迷            
(4星)	 忘得差不多了 只记得文颂娴是选美第三名            
(4星)	 我记得当时超喜欢这部片子的！！内容也不滥俗~            
(NA)	 小时候很喜欢看~很喜欢文颂娴~~            
(4星)	 童年回忆有没有啊!!!            
(5星)	 突然觉得小时候让我印象深的电视剧都是ATV的，据说都是实景拍摄的，现在破产了好可惜。不像TVB现在总是拿 一些老脸出来恶心人            
(4星)	 原来文颂娴跟佘诗曼年纪差不多啊            
(4星)	 好小时候看的电视了。那时候的文颂娴真心美丽。。!            
(4星)	 曾一度很喜欢看选美和作明星梦题材的片子            
(NA)	 对刘玉婷饰演的“盈盈”印象太深刻了            
(5星)	 老里八早~            
(5星)	 童年记忆哇            
(4星)	None
(4星)	 经典呀，很喜欢看的，喜欢文颂娴，觉得她很漂亮～            
(3星)	 很喜欢文颂娴啊            
(4星)	 大爱郭启文！只是戏份太少了！方雪明为嘛要嫁给那肌肉男！            
(4星)	 当年文颂娴好美~            
(4星)	 喜欢啊 男女都是我的爱            
(5星)	 老小老小时候看的            
(4星)	 配乐真不赖 故事也好 算是九十年代的宫心计了叭 男二实在是太丑了 真想掐死            
(3星)	 恩 。反应潜规则的            
(4星)	 重温初中那时候的感觉，学生时代还真是爱看剧，记住了文颂娴，刘玉婷和张家辉～～～重看觉得雪梨也很美好，为了那份记忆，打四星            
(5星)	 我靠。这片百看不厌啊。            
(4星)	 文颂娴里面所有的造型我都喜欢,一度希望自己长成她那个样子.并且导致我的审美停留在她里面的风格,唉 不知道为啥这戏对我影响这么大.            
(3星)	 喜欢文颂娴            
(3星)	 隐约有印象~~            
(4星)	 常德TV夏令营~            
(3星)	 没有什么印象了            
(4星)	 里面的文颂娴真是太漂亮了，选秀的剧情很不错的，就是小文在里面的演技一般哦～～            
(4星)	 选美的内幕            
(4星)	 刘玉婷就是后来一帘幽梦里面那个小三吧 还有保镖系列的采玉            
(5星)	 好看的！            
(3星)	 这都找的到！！            
(3星)	 张家辉演的那个男人也太好点了吧~其实我一直觉得刘玉婷蛮好看的，貌似演坏女人居多...文颂娴到底是小家碧玉的长相，担纲大剧女主角难免会显得有些气场不足...P.S. 那个什么峰哥，不知道为什么，看着就讨厌~！            
(4星)	 记不清楚是不是看的这一部了，因为很久了，但是我记得的最清楚的一幕是最后的大赛那个得第一名的人撒谎说自己的父母在美国，自己在美国念书，其实父母只是当地的清洁工人，求证实是不是这一步            
(4星)	 小时候看过的一部印象深刻的电视剧            
(3星)	 小时候的印象超级无敌深刻，当时就了解娱乐圈多么黑暗啊！！喜欢张家辉和文颂娴~~            
(4星)	 特小的时候看的。直接奠定了我美丽不如善良的生命基调人生态度啊。导致我后来不重打扮神马的，吃亏至今。不过想想还是对的，耍心机什么的，纵使能占到一时的便宜，终究是水月镜花，不长久。应该也是从这里开始体会到，什么叫做防人知心不可无，只是里面的好人纯粹，坏蛋纯粹。此剧格外适合少男少女摆脱            
(NA)	 儿时的记忆，选美。            
(5星)	 印象深刻啊            
(3星)	 我在大学的时候，又看了一遍，还是会羡慕港姐……但是又知道她们生活的阴暗            
(5星)	 订情之剧！            
(NA)	 重温            
(NA)	 因为这个，认识文MM的。原来我很萌张家辉这一型号的            
(4星)	 ATV代表作            
(4星)	 多年以后我还想重温一遍的好片，文颂娴好漂亮！            
(5星)	 中学时代最喜欢的            
(5星)	 很早的电视剧了~亚视的~超喜欢的~~~后来才发现原来那个是文颂娴！！超爱的~~~~~~~~~~盈盈太坏了~~鄙~            
(5星)	 那时候好迷文颂娴啊！            
(4星)	 文頌嫻蠻漂亮，就是沒火起來。            
(4星)	  文颂娴             
(4星)	 IPTV点播看的，现在看来还是很好看的部片子            
(3星)	 当时觉得张家辉好白马王子            
(4星)	 小时候叶子频道放过的            
(4星)	 小学P事还不懂时看的，现在回想起来，剧情灰常灰常发人深省啊！！！！！！！赞一个            
(4星)	 让我认识并且爱上文颂娴的剧，第一次知道原来选美是这么一回事。            
(5星)	 记忆中的经典。            
(3星)	 = = 当年很爱的            
(4星)	 小学时候看的            
(2星)	 文颂娴很漂亮呀            
(4星)	 小学时候看的片子，题材不阳光，不喜欢。            
(4星)	 文颂娴的角色方雪明真不怎么喜欢太偏激见谁都咬反倒是不怎么有戏份的eva很得我心，雪梨的妈妈一角也好棒。二少实在是太棒的男人啦❤             
(5星)	 张家辉演的启文太完美了，完美男人的典范            
(4星)	 越到后期越讨厌方雪明，她对爱她、对她好的妈妈和郭启文一直都能那么凶。唯独在出卖和伤害了她一次又一次的沈莹莹面前，低声下去，低眉顺眼，你是肿么了！？            
(4星)	 我对娱乐圈的启蒙电视剧...那时候的文文很水灵...            
(4星)	 不错看的~有ATV的味道~            
(5星)	 deep impression            
(3星)	 久远了，就发现它并不适合称之为传说。是看文颂娴的第一部戏，好中意那个方雪明超过文文后来所有的角色。张家辉演回好人，我看的第一部戏。还好，最终他们没有辜负对方。            
(NA)	 一点看不出张家辉是男主            
(NA)	 一脸不是主角像的文颂娴才是第一女主角。            
(NA)	 洗澡的时候忽然想到了这片子，怀念的童年啊，当时很喜欢看，觉得男主很帅，那时候根本都不知道什么张家辉，真的就是单纯的喜欢这电视剧。至今才知道是张家辉演的，原来他也有那样干净阳光的时候哦~~            
(3星)	 多年前觉得阿明好好啊，多年后在回顾，觉得应该要坚强，但不能死倔            
(4星)	 最早的讲述娱乐圈的电视剧。            
(5星)	 哇~这本我小时候超爱看的~最喜欢文颂娴~            
(5星)	 一段美好的童年回忆，第一次看时  喜欢方雪明。 事隔多年后再看，同情盈盈，  看来我真的长大了            
(NA)	 当年的文颂娴好嫩哦            
(5星)	 小时候看的，小学和初中的暑假有重播，看了两三遍好像，当时就喜欢刘玉婷的盈盈不喜欢女主文颂娴，文文还是《谈判专家》里的可爱呀~            
(4星)	 蛮经典的一部,,            
(5星)	 感觉小的时候看的了，看到文的第一眼惊为天人            
(4星)	 儿时..暑假炒冷饭必有剧目...            
(4星)	 那时候还觉得慢好看的。。            
(5星)	 那时少年各种剧~~~             
(4星)	 很认真的重看了一遍，清晰隐约的记忆            
(5星)	 好久远了，奇妙的是，这部我现在剧情还记得蛮多哎~~            
(5星)	 小时候超爱看的。            
(3星)	 - -沈盈盈还是不错滴            
(3星)	 当时觉得那女的很坏。。            
(NA)	 看过，初中时候暑假，有线一台            
(4星)	 小时候看的            
(2星)	 ATV的水准是比较。。。            
(3星)	 娱乐圈的潜规则当时就拍出来了            
(5星)	 怎么没有六颗星呢？            
(5星)	 有此认识文颂娴，精灵可爱的一个女主角，ATV做主角的机会不多，好容易过当TVB一样不受重视。可惜了……            
(4星)	 爱极了这结局 :)            
(3星)	 我的天啊 终于找到了             
(4星)	 小时候看的，很经典            
(NA)	 前几天不知道为什么，突然就想看这部片子，于是从土豆上把整部都下了下来。昨晚奋斗到两点，终于看完了。第一次看这部片子是在小学六年级，当时真是迷方雪明迷到不行，如今重温，还是挺喜欢这个角色的，不过在喜欢的同时，觉得不太实际。至于男演员，最喜欢的还是张家辉饰演的郭启文，欣赏他对方雪明的一往情深，矢志不渝。最后一集看了n遍，看到他俩在海边吻别，配合着那首《等你等到我心痛》，真是无比心痛。不过很庆幸的是，导演没有让大家失望，让有情人终成眷属。看着看着，恍惚间觉得自己回到了当年做梦的年龄，只可惜光阴荏苒，物是人非了~            
(5星)	 小学的时候看的吧~~ 经典的~~            
(NA)	 小时候很喜欢看~~~            
(3星)	 没印象......&gt;&lt;痛苦......            
