http://movie.douban.com/subject/2148843/	斗鱼Ⅱ 鬥魚Ⅱ
(NA)	肯定不如第一部 看过一点
(4星)	因为罗志祥才看的，喜欢阿烈这个角色，对皓子等人无视。
(3星)	初中看的时候还一度迷过郭品超= =
(3星)	最喜欢单子
(3星)	做大哥身邊的女人 ...
(3星)	剧情……太脱线
(3星)	过。
(3星)	我记得当时是通宵看完。
(4星)	当年我熬通宵看完的！虽然我没有看过流星雨！
(NA)	有一种人，无所依靠，存在在灰色地带。
(3星)	喜欢那个纹身，有多少那么勇敢的姑娘
(3星)	简直难看。为什么要悲剧。
(3星)	不像第一部那么好看了...
(4星)	喜欢安以轩的短发~
(3星)	当初迫使我看下去的貌似是因为这部里面有一些床戏…
(3星)	我喜欢第一部!!!其实很多是第一部的配乐比较加分,嘻嘻
(2星)	什麼東西啊  就是個快進片
(3星)	推荐！！
(4星)	有我家小猪！！哈哈····
(3星)	哎~~越看越气人！！
(3星)	说实话相比之下二比一要差，大部分人都是在抱怨安以轩的部分，因为大家都不愿意看见一里面的小燕子变成这个样子。但是加分的倒是罗志祥和妹妹的那一段，罗志祥扮演的还是卧底，这部更多地在叙述爱情外的感情……
(NA)	还是第一部好看
(3星)	在妹妹家蹭看
(3星)	我觉得比第一部好看啊……加了小猪的缘故吧。可是习惯小猪的搞笑，突然演这么深沉内敛的好人，反倒不太习惯了起来。
(NA)	斗鱼
(3星)	因为看到小猪就想笑~
(5星)	罗天王
(5星)	原来小猪演戏也可以好靓仔!~
(NA)	不怎么关注，听说有点拖沓了，断断续续的看
(3星)	没什么印象了。
(NA)	和呆子两个一天看完
(4星)	继续很好看。。《灰色空间》映像深刻
(NA)	【2004-09-29】
(3星)	虽然看过，也不太记得了
(NA)	罗志祥是来打酱油的么。。
(4星)	啊啊 记忆啊~~
(2星)	鬥魚2是有點2，不過主要是討厭臥底那位。
(3星)	我真的好无聊
(2星)	所有的片都是第一部最好！！
(NA)	继续补齐。
(4星)	小燕子倒是挺幸福的了~~要是我的后背和小燕子的后背一样性感，爷早去纹身斗鱼了！
(NA)	歌都挺好听
(3星)	少了蓝正龙是硬伤。
(5星)	我喜欢啊那时候，最喜欢这个了，即使到了现在一定要看个什么台湾偶像剧也只看这个了
(2星)	对整部剧的唯一印象就是他们开了个钓虾场
(4星)	总的来说这部要比上一部好看多了 不知道为什么
(3星)	续集一般都不如第一部
(4星)	多年前
(3星)	高中时看的了
(4星)	喜欢陆明君拽拽的样子。
(4星)	啊~男一死了 好可怜
(NA)	郭品超真是死得太叫我绝望了。
(3星)	2004
(1星)	续集烂到一种程度。
(4星)	死都死了，干嘛继续扰乱唯美的死别。
(5星)	鬥魚1算是真正意義上第一部以悲劇結尾的偶像劇吧~拖了很久來看鬥魚2~感同身受~&#34;在被兄弟背叛和利用的時候，有些人選擇繼續相信~有些從此有了戒心~誰都沒有錯~只是所收穫的不同罷了~”
(2星)	不喜欢这续集
(3星)	烈。
(3星)	摆脱不了的是，这早已注定悲剧的结局。。。
(4星)	二里面加入了小猪，其余都还是全班人马，而且讲的事中间那段往事，所以，还是值得一看！
(3星)	狗尾。。
(4星)	小猪还是有些演技的。。。
(3星)	么第一部好看...不过有罗志祥...嘿嘿...
(3星)	啊，一般般。不过《灰色空间》还蛮好听的
(4星)	小猪啊~
(3星)	第一部比较好看.
(5星)	從這部開始看的 呵呵
(NA)	還是第一部好看
(NA)	高考过后的那个暑假在家无聊到看偶像剧，看得就是斗鱼1和2，还有终极一班。斗鱼故事还行吧，飞儿的主题曲不错！安以轩也不错，单（shan）子也挺喜欢的。
(3星)	第二部都没有蓝正龙了……
(2星)	一个冗长的、真正体现无事生非的故事。可惜了罗志祥和不错的音乐
(3星)	哎呀，爛吖~
(5星)	my favorite TV series
(NA)	斗鱼 II
(NA)	不及第一部
(4星)	斗鱼 II
(NA)	不如第一部好看
(3星)	没1好看
(3星)	好多野可一不可再
(2星)	加了小猪以後，果然整本東西馬上掉價。那首主題歌還不錯听。。。
(5星)	喜欢那个纹身，有多少那么勇敢的姑娘 .
(2星)	第二部真心烂
(3星)	第一部比较好看
(4星)	真的很好看！
(4星)	当初的选择造成了之后的曲折～
(4星)	高中记忆……没第一部经典
(2星)	那会刚知道有个明星叫小猪
(3星)	都没怎么仔细看。。。
(3星)	清纯的安以轩变成大姐大，不适合。
(4星)	好吧 我喜欢郭品超和安以轩
(3星)	與第一部比起來真是。。。。。。。
(NA)	难得看到小猪如此正经的演出
(5星)	看到哭~~特别是小猪的演技很棒！
(2星)	相比之下二比一要差
(4星)	不足就是阿烈死的那幕好像有点儿戏。。
(2星)	觉得不好看。当时就看了一半。。
(3星)	不喜欢的剧情
(3星)	没1好看。。
(NA)	就是记得那个钓虾场看得我心痒痒的
(3星)	不如第一部，不过也还可以
(4星)	灰色空间。
(4星)	喜欢里面的单子啊！！！！！！！！！！！！
(3星)	有点失望，毕竟第一部主线是青春爱情，而第二部则主要倒叙“碟中谍”“卧底”等港片元素，脱离了台湾偶像剧本质。
(2星)	鸡肋
(NA)	同好看啊~~~
(NA)	莫名其妙的续集，和流星花园2一样中途转走了
(3星)	没有一好看
(3星)	1硬生生地被坳断，然后2强势插入……
(3星)	第二部囧了点。。 = =
(NA)	真是不错，，，
(5星)	好看好看
(NA)	覺得比鬥魚1好看。
(4星)	第二部加入了罗志祥，蛮喜欢他在其中的表演的，演技很不错。
(3星)	哈哈 初中看的啊 当年很迷
(4星)	由台湾作家洛心的，《小雏菊》改编。
(3星)	其实我好像没看完= =
(3星)	没有斗鱼1好看哟
(NA)	第二部没得第一部精彩
(1星)	观影屎啊屎
(3星)	是给看第一部人的一个慰藉,但的确没有什么看头了..
(3星)	不如第一部热血。
(4星)	当然是比不上第一部的。
(4星)	兄弟间的感情是我所不懂的，但却让我羡慕...其实剧情不如1来的感人...只有兄弟间的感情永远不变，但最后阿烈死的时候又让我哭惨了...
(4星)	没有第一部那么好看.为了于皓小燕子阿奇红豆.四星
(3星)	郭品超只会演一种男人……
(4星)	…还是觉得所有台湾偶像剧最喜欢斗鱼啊。
(3星)	不喜欢大姐头的语燕
(3星)	最终，我和你也走到这样的结果。
(NA)	这一部比第一部好很多，罗志祥的加入增色不少……个人认为是台湾最棒的偶像剧之一。
(5星)	喜欢上罗志祥。好可怜
(4星)	当年蓝正龙还是男3，罗志祥还是男2
(5星)	一首灰色空间
(4星)	真的觉得小猪里面帅惨了
(3星)	不喜欢2==
(3星)	这明明就是阿烈传奇。。。
(3星)	第一部好看，一个女人为了你而改变，你却说喜欢从前的她，哎，悲催啊.....
(NA)	好喜欢斗鱼啊啊啊 啊啊啊啊啊啊啊 ！！！！！以前一直很讨厌郭品超的啊！！！然后看完这部居然觉得他很帅呀喂！！！~\(≧▽≦)/~
(4星)	卧底都是让人看得纠结的
(4星)	小猪~
(NA)	看完1 再看   其实还行的
(4星)	比不上第一本，只因为蓝正龙。太讨厌罗志祥了。
(3星)	罗志祥的哭戏看得我想笑
(4星)	挺悲的
(3星)	n年前的阿！！！后来越看越不喜欢阿
(3星)	没第一部好看，剧情略显狗血。
(3星)	比一差太多
(4星)	为了罗志祥看的。
(5星)	highschool&gt;&lt;
(4星)	不太如第一部好看.
(4星)	这一部出了罗志祥是个看点，小猪大概就是从这开始哄的结局有点失落~~
(3星)	我居然两部都看了==。
(3星)	不如1
(4星)	斗鱼2的价值在于，它成全了罗志祥
(3星)	2009
(4星)	灰色空间
(3星)	感觉生硬些 也许是第一部太好了
(3星)	我只记得我看过，却忘了具体内容了。只记得有罗志祥，只记得他喜欢上的女生竟然是他的妹妹。
(3星)	没有第一部好看
(2星)	有情人终成失散多年的亲兄妹。
(3星)	这边是为突出小猪而拍的2了~
(3星)	还是比较喜欢阿奇和红豆呀~~~
