http://movie.douban.com/subject/4905040/	吸血鬼日记  第二季 The Vampire Diaries Season 2
(4星)	 坏女人果然有魅力！！！虽然是同一张脸，怎么看都觉得Katherine美很多！！            
(5星)	 又是劈腿女和两个禽兽的故事 可是我就是喜欢看啊╮(╯_╰)╭            
(5星)	 比暮光之城精彩多了。大爱Damon            
(5星)	 我美剧生涯的第一次就给The Vampire Diaries了！不要虐Damon不要虐Damon！！！please！！！            
(4星)	 ..Damon ，我们来爱你！！            
(5星)	 Damon 145年后的真相 太虐了 泪            
(4星)	 女主角的气质更适合演坏女孩            
(5星)	 越来越好看鸟 妈的 干嘛都这么欺负我家Damon Damon最好了 希望他能和爱的人在一起 s你就和k一起算鸟 话说Caroline越来越有萌点了 狼人一家的Tyler我一直觉得很帅的说\(≧▽≦)/            
(5星)	 喜欢Damon            
(5星)	 看完第一集必须马上来给分！！！！！！！！！LOVE TVD 4EVER!            
(5星)	 期待的要疯狂了~            
(2星)	 第一季就是垃圾第二季因为海报不错才瞄几眼。高贵的血族不应该这样的！            
(NA)	 DAMAN真的是比他弟弟可爱了。            
(5星)	 快点更新吧            
(1星)	 2010-12-09 10。第一季至少还有吸血鬼设定之约定俗成的形式之美，第二季一方面破坏了这种形式，另一方面又无法建立起引人入胜的新设定，感觉混乱、无序、乏味、扯淡。            
(3星)	 12 弃。            
(5星)	 大爱！！！！！            
(4星)	 vampire is sexy            
(5星)	 我爱吸血鬼日记，第二季赶快都放吧，我等不及了            
(5星)	 作为某程度某时点的大叔控，必须关注二季。            
(4星)	 烂尾了            
(4星)	 拖了快一年终于看完了。。。摔！到底是要怎样！！第三季还追不追啊。。。。亦正亦邪的damon越来越喜欢！灰眼珠子天生的vampire啊。剧情越来越向狗血发展。。（nina和ian真好了！！！卧槽真是大快人心！）            
(4星)	 残了，果断弃了，第三季( ^_^ )/~~拜拜            
(5星)	 狗血到这么好看也是境界了            
(5星)	 等待第三季！！！！！！！！！！！damon我就知道你死不了！！！！！！安娜回来了。。。超级喜欢她！！！            
(4星)	 最终又回归了兄弟基www            
(5星)	 非常期待 接下来的第二季第二集            
(3星)	 这一季的主题就是，原地满血复活！！！            
(5星)	 追的好high            
(5星)	 大萌越来越招人喜欢了。。。可我还是希望Elena跟Stefan好。。。            
(NA)	 http://www.juchang.com/film/127546.html            
(4星)	 慢热的美剧。开始几集以为是和《暮光之城》一样，骗花痴女生的狗血无聊吸血鬼题材路线的青春偶像片，看到后面就不是这么回事了。除了每集叫人反感的没完没了的吻戏以外，剧情还不错，女主很美丽（保加利亚的却是美女集中营）配曲很出彩，网上有大批搜刮本剧插曲的人，辛苦了。            
(4星)	 也是因为结局太虐了，扣一星。            
(4星)	 看到D 對E 的表白然後讓她忘掉。真的是好純真好偉大的愛情啊 （┬＿┬）            
(5星)	 哎。。。腐就腐吧。。。            
(4星)	 吸引观众的最大悬念就是女主角何时劈腿有木有？            
(4星)	 我就是对女主无法自拔阿我这是什么心理o(*////▽////*)。            
