http://movie.douban.com/subject/2238701/	无敌县令
(3星)	 没看全. 冲晴格格去的.             
(4星)	 五阿哥+晴格格+宋丹丹的组合略诡异……其实我觉得还不错啦，过年在家看了几集，而且苏有朋唱的片尾曲《爱情告诉我》也蛮好听的。            
(3星)	 。。有点二。            
(3星)	 无敌得有点过头的县令。            
(1星)	 抖了……            
(1星)	 雷剧            
(3星)	 粗粗地看了一遍 好欢乐~五阿哥你弹开好么 不要阻挠2教主和晴儿相爱相杀好么~            
(NA)	 凝香公主……            
(3星)	 留给我印象最深的反而是宋丹丹。            
(3星)	 剧情残了点。。。看CP吧= =            
(1星)	 无敌雷            
(3星)	 还行吧            
(3星)	 看到了镜花。。。你还记得08年的短评吗            
(4星)	 王艳 宋丹丹 苏有朋 还有黄晓明 寇世勋 其实记忆蛮深的。            
(3星)	 苏有朋大哥飞檐走壁的功力还是不错的 真是神奇怎么发了疯似的拼命接戏拍 太红了吧这也            
(3星)	 画面很清新~            
(3星)	 电视剧            
(NA)	 有点仿造成分.不是很好看.特别是音效.苏有朋的声音很是恶心.            
(3星)	 要不是王艳我才不看            
(NA)	 我爸他吧，刚好一个付费频道在放，然后他吧，就看了一下午，然后我吧，就看着囧叔的剧，听着我爸无限说，诶，这个人是谁诺，这个人也在诺。后来吧，喂！！！这不是应该是妈干的事儿嘛！！！妈呢？妈在上网！！！还加加班神马的！！！你们俩是不是准备这样身份对调一辈子啊！！！            
(5星)	 只记得好多美女~~            
(NA)	 烂剧中的战斗机……            
(NA)	 男女主角不配好么……            
(NA)	 竹山县= =我深深地囧了……            
(3星)	 深夜档侯群            
(3星)	 当时很喜欢王艳。            
(3星)	 喜欢王艳讨厌苏            
(3星)	 判案是我所爱。            
(NA)	 凝香。王艳的古装都很美。            
(4星)	 养眼哪养眼，轻功好到匪夷所思的俩人。黄兄第一次见吧，也是这片子，蛮横的太子演的真是好啊好。            
(1星)	 苏有朋和王艳搭戏我真的觉得别扭。黄晓明演得坏太子。            
(3星)	 惊现小明！            
(2星)	 有点雷            
(4星)	 真美            
(3星)	 ~~~~~~~~~原来里面有黄晓明啊？？？？一点印象都没有            
(3星)	 看着剧只为了王艳            
(3星)	 黄教主            
(3星)	 如果黄晓明一直是小跟班……            
(NA)	 喜欢王艳            
(4星)	 前15集讲了一个很漂亮的故事，天龙太子很帅啊，苏有朋也很帅。            
(NA)	 萌的要死的……当时            
(NA)	 补：为了王艳我连这都看过，我X            
(5星)	 最喜欢王艳            
(5星)	 我最最美的凝香公主呀，王艳呀，我看这电视剧就是冲她来的！            
(3星)	 原来里面那个是黄晓明……            
(3星)	 记不清了            
(1星)	 。。。            
(5星)	 小时候好喜欢看            
(4星)	 好萌好萌好萌啊~            
(NA)	 黄晓明那时候真帅。。。= =            
(2星)	 居然有黄晓明，当时觉得这个王子挺帅。            
(2星)	 一部就是看完的电视剧            
(4星)	 不错...            
(3星)	 有宋丹丹一定很搞            
(3星)	 这一个个电视剧当真适合用来消磨时间。            
(3星)	 一般            
(4星)	 中间金铭的一段推荐            
(4星)	 小学时看的，当时爱的很啊！现在剧情忘了……            
(3星)	 我很不喜欢那个小孩，其他的还行。什么时候出现分集了?刚知道            
(3星)	 有印象，苏有朋挺帅的~王艳也很漂亮~            
(3星)	 当时一直纠结着五阿哥怎么可以和晴格格在一起。→_→还珠格格后遗症啊啊啊啊啊啊啊啊啊啊啊！            
(4星)	 当时被黄教主萌到了            
(3星)	 当时看感觉王艳很漂亮            
(3星)	 很早之前看的雷剧            
(3星)	 原来教主也演过啊，完全无视了=。=王艳真滴漂亮啊~            
(3星)	 哈哈 好欢乐啊有木有 师爷萌            
(3星)	 我觉得这片值仨星啊，当年2教主是邪魅狂狷的好么……            
(1星)	 呼呼，爲了看王豔嘛！            
(3星)	 黄晓明。。。            
(3星)	 那个时候好像很流行这样的县官电视剧~~都挺好看的~~其实~            
(5星)	 小时候超爱看的，王艳真是美呆了！！！            
(3星)	 当时第一次见黄晓明演坏人，那时候觉得王艳太漂亮了。            
(4星)	 其实我还是蛮喜欢这剧的……            
(4星)	 笑到打滚            
(3星)	 有几个案子不错。最后有点无聊的感觉。但王艳和苏有朋，非常新奇并且养眼的组合啊。            
(3星)	 王艳真的是惊艳，当时去看是冲着苏有朋，但后来才发现，原来黄教主也在里面……太子神马的，其实黄教主的演技还不错啦就……原来我还挺喜欢他了，但只是看过神雕之后，对他装嫩的演戏实在受不了了……            
(3星)	 没人觉得苏有朋很装吗。。？            
(1星)	 宋丹丹还挺逗的            
(3星)	 一脸正气的小个子县令            
(4星)	 这时候 我还是很迷黄晓明的 叫天龙太子            
(4星)	 黄晓明在里面貌似演了个大奸角，记忆还蛮深刻的            
(3星)	 蘇有朋吖蘇有朋~~            
(4星)	None
(2星)	 现在觉得好SB。            
(3星)	 那天美女同桌打我家电话聊剧情，那集有什么开膛破肚，看完后出门第一次看到一颗流星划破天际，很深刻很有爱。            
(2星)	 有黄晓明？            
(NA)	 我的朋朋            
(3星)	 这剧是五阿哥和晴格格最后搞在一起了么。。            
(2星)	 囧            
(3星)	 记得王艳飞过来，吟：“沧海月明珠有泪，蓝田日暖玉生烟”，竟然还有黄晓明。            
(3星)	 又是一朵奇葩            
(1星)	 囧片 残片···            
(2星)	 ==            
(4星)	 王艳太漂亮了。            
(NA)	 有个同学说，他在看无敌县令！我想她应该都背会这电视剧了吧……            
(3星)	 小时候除了玩就是看电视。            
