http://movie.douban.com/subject/3901418/	倚天屠龙记
(4星)	 严重喜欢贾静雯演的赵敏~~~            
(NA)	 女主角是这版最美            
(4星)	 贾静雯，很不错。            
(NA)	 最爱的还是这一版。只因高圆圆和贾静雯。            
(NA)	 豆瓣真能装逼,这算是大陆最优秀饿电视剧之一了,影响了很多小朋友吧..原声最赞~            
(5星)	 这版很好            
(5星)	 最喜欢这一版。            
(5星)	 童年时候的经典啊 贾静雯真的是美翻了。            
(5星)	 爱上张无忌            
(4星)	 苏有朋版的张无忌和贾静雯版的张敏很搭嘛 罒ω罒             
(4星)	 围攻光明顶那段我看了N遍==!            
(4星)	 邓超横空出世，让我一冲动来打个四星            
(3星)	 好米粒的贾静雯            
(2星)	 美女比较多，其它的很一般            
(1星)	 这个版本最他妈恶心了 我操             
(2星)	 人倒是一个个长得像样，就是演得烂。            
(2星)	 角色选的太差            
(3星)	 我讨厌张无忌啦            
(1星)	 一幫人演一坨屎            
(3星)	 讨厌男主~            
(NA)	 HLL的口条张啊~看得我吐血~~不要糟蹋我的杨逍~            
(NA)	 很不幸，我又看过——一些。            
(2星)	 除了高圆圆没一个行的。            
(3星)	 看过，但是好烦！远不如马景涛版本！            
(4星)	 小昭.....太萌了！            
(5星)	 喜欢贾静雯演的赵敏            
(4星)	 贾静雯喜欢。            
(3星)	 高MM清醇 贾MM漂亮 可吃人家吃剩下的馒头没什么意思 我还是喜欢原来的            
(2星)	 不好看，偶像版、苦情版的。            
(4星)	 金庸筆下的女人里我最喜歡的是趙敏，男人里我最討厭的是張無忌，可是偏偏趙敏愛張無忌。還好最後他安分了心，總不負趙敏這麼聰明卻犯癡情病。            
(4星)	 喜欢周芷若。            
(4星)	None
(4星)	 高圆圆一炮而红。            
(3星)	 过。            
(NA)	 杨逍其实就是乾隆么（误！            
(1星)	 破结局！！            
(NA)	 不是很喜欢这部的 张无忌 对待爱情犹豫不决            
(NA)	 也就这部剧高圆圆能让人喜欢- -            
(3星)	 六年级看的            
(NA)	 高圆圆你干嘛不继续拍广告呢            
(NA)	 补遗             
(3星)	 无忌他娘很漂亮~            
(4星)	 养眼~养眼~虽然。。。我觉得赵敏不是圆的。。。            
(5星)	 太爱贾静雯演的赵敏了！百看不厌            
(4星)	 就喜欢里面妞多~            
(NA)	 大爱啊。。            
(4星)	 喜欢GYY            
(4星)	 这个版本不错。            
(1星)	 這也算電影嗎？為啥給我推薦？            
(5星)	 倚天屠龙记版本中最好看的一部。片尾贾静雯的玉足那个镜头让人流鼻血，导演故意剪辑出这个镜头也太。。。更BS导演            
(1星)	 囧中之囧            
