http://movie.douban.com/subject/6123977/	浪漫小镇 로맨스 타운
(2星)	哎~可怜wuli宥利啊~~这种剧也可以拍24集！！忍住看了2集，实在看不下去了~~
(2星)	一集弃。尼玛男主角吓死我了，有这么丑还跑出来演戏的么==
(2星)	烂片。郑糠云算是我最近喜爱的一款。但是剧情太糟蹋人了。
(2星)	除了成宥利 sb剧情真无语
(2星)	弃~
(2星)	弃之
(3星)	看了一集 米兴趣
(NA)	这评分也太低了吧。。
(NA)	我也是看成宥利的，可实在看不下去了。。。竟然对最后的大结局都不感兴趣了。。。
(3星)	奔着成宥利去的~ 
(4星)	一号街的人们，许多的人都改变了。钱，真的不能太和钱计较。也不能把钱看得比什么都重要。因为在我们的心里，最重要的应该不是钱。最喜欢这里面顺锦爸爸的改变。
(3星)	喜欢成宥利，所以烂片也忍了
(3星)	浪漫小镇其实不应该叫这个名字。明明主线就不是爱情。这样的名字让人以为爱情剧集啊。这明明是讲人的贪念和对钱的无止尽的欲望啊。100亿和10亿有区别吗？让那些保姆去花。1亿可能都花不完啊。看这样的电视剧太现实。有幻想的人们还是不要去看了。到了后期。明显编剧控制不住剧情了。
(2星)	毛剧情啊！！！荒诞派！！！
(3星)	不怎麼喜歡 = =。
(NA)	不知所谓啊。。第二个男猪脚比较对我胃口但是还是。。。不知所谓
(4星)	男一给力！
(2星)	。。。成宥利果然演的戏都。。。男主我试图催眠自己发现亮点，但是还是不咋地啊啊啊
(3星)	除了第一、二集，徐编剧水准大跌呀！
(4星)	第七集小孩子短了发真是超级可爱啊~
(3星)	为了成宥利看，但是男猪脚真是比猪脚还丑！看不下去！！！！果断弃！！
(2星)	除了成宥利，我真的不觉的有任何看点。。。。。弃剧。。。
(2星)	最近太多韩剧让我看不下去了。这部要不是为了女主角，你让我看两集我都不愿意！！更何况我为了她看了五集，原谅我实在看不下去。。太憋屈了
(NA)	。。。。。。。。。。。
(NA)	为了成宥利看了九集 说什么也看不下去了
(2星)	和同档的对比起来...逊色得不是一星半点。弃...
(2星)	弃了
(3星)	因为《阳光姐妹淘》里的闵孝琳去看的，虽然成宥利是主角，闵孝琳在里面是个乖乖女的感觉，不喜欢，没个性啊！没看完，说实话没什么喜欢看的演员，剧情有拖沓搞怪的，所以没有兴趣看完啊！！
(2星)	貌似看到第八集是在受不了了完全不知道在说什么。。兔纸乃选的剧本不好呀~~~
(2星)	看不下去了..真心不好看..
(NA)	一般
(3星)	擦 对男猪脚无语。。。。。。
(1星)	牵强。。。只为看两个男主角。。。
(2星)	忘了看了兩集還是四集，反正也就看不下去...
(2星)	不好看
(4星)	没看完，前面不错
(1星)	憋了两集果断放弃~
(5星)	好羡慕女主，被两个超级高个子大帅哥稀饭！再次被金民俊征服了，心都砰砰砰的跳了，呵呵！成宥利还是很漂亮，但是不怎么喜欢她纹的眼线。闵孝琳的扮相还是蛮可爱滴！其实不要把它当成现实剧看，就是一部轻松搞笑爱情片，还是蛮不错的呀，为什么评分这么低呢？
(3星)	为了成宥利才看
(NA)	钱是好东西能透过它观察人的各种心理活动
(NA)	吃饭打发无聊看的。。的确挺无聊的。。
(NA)	编剧挺会编的
(2星)	剪得乱七八糟，很多地方看得莫名其妙！男主的演技还是很烂！
(2星)	怎么拍了20集这么多呢
(5星)	因为是郑糠云
(5星)	真是有意思的荒诞剧，对白、剧情、人物塑造全都都很有意思，好好笑，有不断出现的悬念，看得心情很愉快。（别拿正经地拿老土又常规的眼光评论有关金钱的种种。要知道这只是一部轻松的荒诞剧而已。）“有意思”是多么地宝贵。
(3星)	贪婪--看不下去
(3星)	一开始还挺逗，后半部分的剧情实在太狗血，围绕一张一等奖彩票开始扯来扯去扯不清，能有点儿新意吗
(5星)	
(NA)	让我不禁陷入了中个100亿彩票的遐想
(2星)	什么烂剧情啊···2颗星给主演···
(3星)	成宥利没有那么好看了，郑糠云也没有那么帅了，这是一部神马戏呀，毁成什么样子了……
(2星)	剧情一般般啊。╮(╯▽╰)╭  钱啊，钱啊，都是钱~~
(4星)	以詼諧手法演繹社會各階層貪婪的人性顯現不失為一部佳作。看朋友夫妻父子戀人不信任的猜忌，不誇張但很到位。說是保母的故事也不正確，也非關浪漫。值得一看。
(4星)	我是肿么了 觉得这部剧挺好的啊 是快进美化了它吗 揭露人性丑恶揭露的还蛮好的呀
(3星)	还是前半部分剧情好看点
(NA)	小乖木有皇太子那时候那么惹人爱了啊……
(NA)	剧情荒谬到难以置信，虚荣心还是骗人狂，这个点我真的难以接受，弃
(3星)	过程太艰辛……
(NA)	没看完 不想看了呢
(3星)	看得累死了
(3星)	应该叫《保姆们和一张彩票的故事》。。。
(3星)	本着看成宥利的心态去看这部片子，一开始只是以为和普通韩剧一样以爱情为主，但是后来却是围绕了金钱和友情，阶级的故事。问题在于太啰嗦，其实主旨还不错。看到后面觉得很不一样。
(1星)	这一星，给最爱的成宥利
(2星)	我怎么就挑了这个剧下载呢，下完了了看完了耐性都要崩溃了
(2星)	是那种快进看了第一集之后直接能跳最后一集的结尾看的类型。
(2星)	看到一半就没看下去了，提不起兴趣
(NA)	虽然是我喜欢的郑糠云，可是剧情实在让我看不下去，只好快进看完了！
(4星)	有买彩票的冲动
(NA)	还是可以看看的，剧情很紧凑，不单调
(2星)	人物的性格描述存在前后矛盾，主人公给人一种精神分裂的感觉
(3星)	男二是黄牌男二啊！呼 总而言之 这个故事讲了个由一张彩票引发的血案。
(3星)	编剧用尽笔墨揭开人性在金钱面前的各种表现。
