http://movie.douban.com/subject/1419297/	越狱 Prison Break
(4星)	 虽然越狱注定成为不了经典，但至少他曾经让我那么深爱过。            
(4星)	 作为类型剧堪称经典，剧情紧凑，可惜无谓枝节和重复高潮让人厌倦。            
(3星)	 我觉得一般。智商高、算计周全可以，但是接近于神就未免有些无聊了。很多桥段都能猜到，比如躲在汽车下一定会接到电话。下一句要说什么也能猜到了。几个高潮部分的情节设计得很好，比如Michael利用一个人在监狱长办公室干活的机会，偷跑到屋顶上那一幕。但是有些则处理得草率，完全靠运气躲过去。不过，拿来杀时间还是不错。            
(5星)	 第一季最好看，后面就水了。            
(4星)	 中国什么时候可以出这么一部片子：主角是劳改犯，以越狱为主题，大反派是国家领导人……            
(5星)	 只看了第一季            
(4星)	 一口气花了好几个通宵看……一级一级，累死了！            
(4星)	 人类对紧张和悬念总是保有极大的热情。            
(5星)	 当年我还是很喜欢这个剧的……            
(4星)	 第二季开始一般般            
(5星)	 都是神人!受益匪浅            
(5星)	 干活的时候放着声音 特好！            
(5星)	 噢..纹身..我喜欢            
(4星)	 那个~看这个蛮费脑子的哈            
(NA)	 爱夏天，爱生活，爱PB，爱MS，爱小温！            
(5星)	 喜欢MS            
(5星)	 s1 22eps(2005); s2 22eps(2006); s3 13eps(2007); s4 22eps(2008).五星给第一季            
(5星)	 很不错，喜欢男主角~~            
(5星)	 miceal~            
(4星)	 牛比:)            
(4星)	 只看过第一季，后来坚持不下去了……            
(3星)	 镇不住全场就得死！            
(4星)	 4.5            
(5星)	 抠墙壁的大叔们历险记            
(NA)	 忍不住了，终于看了。            
(3星)	 已經沒感覺了！            
(3星)	 综合一二季的评分            
(3星)	 开始看第一季            
(5星)	 看了这么多小时已然不困了影片，就连续剧来说，已经达到了一个很难奇迹的顶峰。            
(4星)	 到最後實在是過于一波三折咯，搞得很墨蹟～～～～搞得我都懶得看咯～            
(NA)	 好看啊好看            
(5星)	 一季完美，2季尚可，希望3季不要烂尾            
(4星)	 连续剧            
(5星)	 无法逾越的的第一部            
(NA)	 人生就是越狱            
(3星)	 耗时半年 终于看完了            
(5星)	 怎么可以这样紧张！告白都没这么紧张啊混蛋！第一次遇见紧张到都不敢看的剧！每一集的发展都出乎意料，一分一秒都不能放松，整个心都快跳出来。最后几集更是要人命！看这剧实在太虐了！            
(5星)	 这一季好赞！            
(4星)	 多少年過去了。。居然沒加上這個            
(4星)	 节奏紧凑            
(3星)	 看了几集就不想看了，不来电啊！            
(NA)	 第一二季还很来劲            
(5星)	 推荐的理由还用说么？            
(4星)	 中段很棒，可是人物性格没有定性和无谓的枝节让人云里雾里            
(NA)	 这大概是我真正意义上追看的第一部美剧！！！            
(5星)	 当时那个凶！            
(4星)	 一个被无限拖大到庸赘的队伍            
(5星)	 一气通贯            
(5星)	 想说的太多            
(NA)	 看着这开始大学的，能否看着这结束大学，在多坚持几季吧            
(5星)	 hi            
(5星)	 总统死了 副总统即位 搞得像宫廷戏            
(4星)	 第一季第二季好看后面的越编越乱就不看了～            
(5星)	 虽然之前已经看了电影版的“越狱”——《肖申客的救赎》，但是还是被米勒的魅力征服了！            
(NA)	 第一季最经典！            
(5星)	 s1简直是神剧            
(NA)	 越狱            
(5星)	 Just so so, but you got to love when Miller took his shirt off, right?            
(5星)	 越狱            
(NA)	 未完            
(NA)	 经典            
(5星)	 大二开始看的            
(3星)	 不过第一季之后就没法看了            
(NA)	 :)            
(5星)	 第一季还是很精彩的！            
(4星)	 好喜欢Michael Scofield……            
(NA)	 美剧的必看之作。            
(NA)	 ...            
(4星)	 小伙儿，你只要不胖就是神。            
(3星)	 把一个简单的故事拍复杂了，故作悬疑和啰嗦。            
(5星)	 上学的时候大半夜看..            
(5星)	 剧本出色是最大的成功因素 所有演员的演技都抢眼            
(5星)	 每个礼拜等待ing            
(4星)	 美剧 越狱 Prison Break             
(NA)	 我觉得我是非常诚实与勇敢的，把像这类很多这类臭大街的东西放上来。不过真要臭的话那就没完没了了。            
(5星)	 哦~我最爱的迈克,第一季让我欲罢不能,第2季我还是没看到结束~            
(2星)	 实在看不下去了，每次看完都偏头痛发作，那个编剧的脑里就没有一点叫“逻辑”的东西吗？            
(5星)	 第二季拍得烂是策略性的以退为进？            
(3星)	 越来越烂            
(4星)	 加长升级复杂现代版肖申克的救赎            
(5星)	 终于知道它为什么这么火。            
(2星)	 mo&#39;mo&#39;ji&#39;ji的 有完没完啊            
(4星)	 不错,但比不上刺激1995            
(NA)	 越到后来越胡扯了,看不下去了            
(NA)	 MS好帅呢!            
(3星)	 哈哈～这个对我没有魔力的说～            
(4星)	 第一季相当不错,尽管剧情很刻意.第二季挺无聊的.            
(5星)	 第一季看完了,第二季还没有看完            
(5星)	 这还是我看得第一部美剧。只追了前两季。            
(4星)	 完美的逃往计划            
(5星)	 越狱好好看哦！～喜欢Wentworth Miller！～M帅            
(5星)	 真 T M 爽            
(3星)	 有点看不下去了            
(5星)	 让我真正进入美剧殿堂。米帅太帅了！第一部最棒            
(5星)	 又一部只用三两夜就补全的美剧            
(NA)	 从第一季开始追着看的...            
(5星)	 一般人都会被它breathtaking的情节吸引住。本人觉得有点像《肖申克的救赎》。其实没全看完，因为它把我的胃口吊得过火了。            
(NA)	 我终于越完第一部了。好好看。好帅。            
(4星)	 不错的片子            
(5星)	 科技            
(5星)	 紧张得不行            
(4星)	 剧本和演员都一流~            
(5星)	 高智商犯罪。。。            
(4星)	 大家来找碴            
(5星)	 第一季最好看了            
(3星)	 不是很喜欢的一部戏。。漏洞太多            
(4星)	 一季差过一季            
(3星)	 看多了就仅仅是觉得还行。            
(NA)	 小温哥太帅了            
(NA)	 看了S1            
(NA)	 第二季刚开始            
(5星)	 當年跟風而一個周末看完爽快精彩的第一季，喜歡上這部，還有性感的米帥，到后來無論怎樣變化，宿命論和越獄本身的風格一路貫徹，依然精彩。Goodbye Michael! 2009-05-18            
(NA)	 期待第二季            
(4星)	 又一个万年大坑            
(5星)	 帅男人啊            
(3星)	 只看设计和冬瓜            
(NA)	 但凭海报上这张俊脸，你能不心动？            
(3星)	 看了一个开头好像不错            
(5星)	 13集棄……我不是故意的=A=            
(5星)	 喜欢林肯&gt;麦扣            
(5星)	 看到的第一部美剧  很好很强大            
(5星)	 T-bag这个角色太完美了            
(4星)	 第一季是精华            
(5星)	 不解释..米勒好帅气            
(4星)	 而今米帅何在。。。            
(3星)	 迈克眉眼间距很短，所以看上去很坚毅；嘴唇很女，所以看上去温柔。            
(4星)	 我简直就是生命中不能承受之奥特            
(4星)	 八国血统就是不一样额。            
(NA)	 空间太小，剧情太假            
(4星)	 红了很久的片子 我在很久之后才看。咳咳这不叫落伍，这叫先观察群众反映然后自己深入调查            
(4星)	 啊~我喜歡看他和醫生調情~            
(5星)	 2007.12.6/2010.5.29            
(4星)	 s1没有s2好看            
(5星)	 第一季真的很好看            
