http://movie.douban.com/subject/2357341/	射雕英雄传之南帝北丐
(5星)	 帅帅的伊面            
(4星)	 当时伊面还是庙街少年啊            
(5星)	 帅气二人组            
(3星)	 忘记了！只记得魏骏杰！            
(3星)	 有点儿粗糙            
(NA)	 虽然年纪小，可是记忆很深。段皇爷对皇后的薄情，洪七公对爱的执着。            
(3星)	 有郑伊健么？            
(5星)	 《一生不醉醒》            
(3星)	 魏俊杰的新疆小辫子啊            
(4星)	 那时候南帝很帅七公也很潇洒，可惜身边的女人就都...比射雕写得还惨烈啊            
(4星)	 段王爷和洪七公年轻时的故事            
(NA)	 是不是陈加玲最后白发那部啊？            
(NA)	 愿一生不醉醒            
(3星)	 这两只的JQ啊，魏叔叔的小辫子啊            
(NA)	 主题曲我唱的还满不错的            
(3星)	 当时觉得魏骏杰很帅            
(3星)	 最喜段誉公子书生气.            
(NA)	 为什么我喜欢的女人都想杀死我？为什么我喜欢的女人都没有好下场？爱情的悲哀造就了两个武林高手            
(3星)	 小时候的记忆            
(3星)	 里面的女人好多  都喜欢这两个男的。洪七的那个女朋友 刁蛮的。老片子  小学时看的            
(5星)	 每次看都非常感动。郑伊健魏骏杰的扮相我也非常喜欢。            
(4星)	 初识郑伊健            
(NA)	 这部开始对郑伊健非常有印象。            
(4星)	 很小的时候看的了。            
(4星)	 记得还挺好看的            
(NA)	 南帝郑伊健，周伯通黎耀祥，北丐谁啊？？？            
(4星)	 怀旧+1！想不到也是郑伊健演的，好想死...当初还觉得南帝帅死了T T            
(NA)	 我真的看过一点点这个哎！郑伊健特傻，还是虚竹的后人，一上来还跟灵鹫宫猫着呢！魏俊杰演的小乞丐很灵气很可爱！我看的是录像带，后来为什么没再看呢！忘了！            
(NA)	 怎么记得挺搞笑的。。            
(4星)	 这个片子有郑伊健来？            
(3星)	 好模糊的记忆了            
(5星)	 而且还会唱，哈哈！洪七公吞蛇印象很深，还有最后暴起杀人及大结局的其它部分。            
(3星)	 20            
(5星)	 瑛姑，最美的女子            
(4星)	 .....小学回忆....当初认定世界上最帅的人就是魏俊杰....            
(4星)	 居然有郑伊健？？            
(5星)	 小时候快爱死这片子和Ekin了            
(3星)	 -_,-魏俊杰当年真瘦            
(3星)	 6.8            
(5星)	 虽然爱过连续剧里美男无数，但这里面的郑伊健着实让我夜里辗转难眠过。。            
(5星)	 郑伊健很帅！            
(5星)	 还是拍的很不错的，属于典型的香港武侠剧            
(NA)	 感动于一灯大师妃子对周伯通一段情，不明白为啥他们的孩子死那么惨            
(5星)	 应该是初中也有可能是小学反正很好看就对了~            
(4星)	 记忆里的事            
(3星)	 听起这歌《一生不醉醒》，想起是这部电视剧的主题曲，张学友啊            
(4星)	 吧南帝北丐當收音機聽，以前很喜歡的錄像帶。。。。            
(5星)	 洪七的小辫子头真帅            
(3星)	 校台啊校台。郑伊健啊，魏俊杰啊~            
(4星)	 上一次看是小学的时候了~            
(NA)	 当年很喜欢啊~~            
(5星)	 好像是洪七公贪吃害死了师傅就砍了一个手指            
(5星)	 印象最深的还是黎耀祥            
(4星)	 印象好深呢，自断手指、以毒攻毒啥的~            
(5星)	 小时候超级喜欢看            
(4星)	 我看过这个我看过这个我看过这个            
(4星)	 捂脸，感谢上海那个总是放录像的电视台            
(3星)	 小时候的珠江台            
(4星)	 喜欢那时的伊面。唯一的理由。            
(3星)	 模糊印象中。。。是看过的。。。            
(NA)	 “一生不醉醒”            
(3星)	 喜欢那时的魏俊杰，很多麻花小辫子。            
(4星)	 童年记忆~~            
(5星)	 一直念念不忘的好武侠剧。            
(5星)	 制作成本很小，，但情感同样动人的一部电视剧，，，内容跟老金没什么关系。。。到现在我还是喜欢。            
(5星)	 。。竟然是魏俊杰 和 郑伊健     天天天            
(4星)	 郑伊健盛年时的代表作            
(NA)	 厂里的电视台成天放            
(3星)	 N老的一部片拉            
(NA)	 又是N久的剧啊。。。            
(4星)	 当时那男猪脚一袭蓝衫，没把我迷死！            
(3星)	 还行。            
(4星)	 小学六年级时候看的，还曾经一度觉得郑伊健帅来着            
(4星)	 小时候很喜欢郑伊健，看了好多他的古装剧，名字几乎都不记得了。好像有一部，他演一个哈尼族的小伙子，练功啊走火入魔什么的。            
(4星)	 嘻哈半生真我是本性            
