http://movie.douban.com/subject/2411184/	汉武大帝
(4星)	 回头想想，印象最深的居然是陶虹的刘陵，真是不可多得的女性角色。            
(4星)	 “他给了一个族群挺立千秋的自信，他的国号成了一个民族永远的名字”            
(5星)	 看了无数遍，无数遍，无数遍。连片尾曲那么动听，我喜欢那些穿着汉服的女人，好美，好有气势。            
(5星)	 附加分给霍去病！！！！帅哥啊啊            
(4星)	 这部剧的重点是，我很花痴卫青将军~~            
(5星)	 他建立了一个国家前所未有的尊严，他給了一个族群挺立千秋的自信，他的国号成了一个伟大民族永远的名字…            
(5星)	 超级喜欢的，如果宝国兄慢点出场，年轻版武帝再演多几集就更好了。还有，韩嫣最好再美型点。            
(4星)	 汉代的女人都要把嘴巴化成那样么。。。 简直恶寒。。。 杨童舒一如既往的漂亮啊。。。            
(NA)	 呵呵 想起看了这部后为汉史疯狂的日子。。            
(4星)	 能舍得再多花点钱就更好了……            
(5星)	 历史片。            
(NA)	 绝对是一部鸿篇巨制，竟然给我看哭了很多次，尤其汉武帝登基第一天的诏书，还有晚年的罪己诏都实在令人难忘            
(NA)	 这部的卫子夫好漂亮呀。            
(5星)	 我很爱看这部剧啊，很带劲儿啊。那会儿疯狂迷恋焦晃老师和陈宝国老师。            
(4星)	 虽然我实在不喜唐老爷子扮演汉武大帝，但是央视做的华丽丽布景和服饰，以及让人惊艳的第一帅哥张骞……我还是狗血地评了四星。            
(2星)	 本來想給個三星，但鑒於實在太肉麻，受不了~            
(5星)	 2005年1月在央视一套初看，以后大学附近网吧里反复看，我很喜欢！            
(3星)	 肉麻的地方太多啦。            
(5星)	 迷茫的时候就看看吧            
(5星)	 我觉得里面的服装太萌了…演霍去病的那同学太萌了…            
(4星)	 卫青好帅！            
(4星)	 当时的配乐挺差的，扣分吧。人世间的道理只有那么一点点。窦氏窦漪房非常强大。            
(4星)	 早先年看的，依稀记得是不错的历史剧，一扫我对陈宝国老师的偏见            
(4星)	 我好像……爱上窦婴了，啊啊啊怎么办！！！            
(5星)	 多少无奈。当年看完之后对政治如此愤慨，一连三四个小时写了篇一千五百字的文章交给老师作为暑假作业……            
(4星)	 诺······            
(3星)	 拖得很长啊重点呢？暂时没看到粗糙 台词不到位剧情也一般            
(3星)	 汉武大帝            
(4星)	 那年在即墨驻扎半月多，每晚只能看它，还挺好看！            
(5星)	 不日不夜看了两天            
(4星)	 根据司马迁《史记》、班固《汉书》改编            
(4星)	 有景帝的部分更出彩。            
(5星)	 祖宗！            
(4星)	 跟爹爹一起看滴            
(5星)	 太喜欢。            
(4星)	 制作精良。看焦晃演汉景帝，总会穿越到康熙帝去……实在太喜欢他演的康熙了。这版的卫青很帅~~杨童舒也很很很好看            
(5星)	 纵然这部剧有太多不足，战争场面的粗糙，配乐的蹩脚，部分事件篡改史实等，但我依旧想不出不爱它的理由。汉武一生功过相抵，对于汉朝本身兴创难评，然而他却始终能够一次次从历史洪流中走来，带给后人一段永恒的荣耀与辉煌，那是一个民族的记忆，任谁都无法磨灭，它的名字，叫汉。            
(4星)	 焦晃真是老道            
(4星)	 卫青            
(5星)	 具体什么情况忘了，就记得当年觉得很好看来着~            
(3星)	 长而乏味，诡而造作。配乐竟几度闻得倭奴声……            
(4星)	 当年我翘课回家看~~~            
(5星)	 太多的外国电影里面中国人的形象就是辫子狗的样子广颠局的满乙贱婢们拍的辫子戏让我中华呕吐不已光是冲这个角度来看汉武大帝就能当之无愧的满分，我中华魂方显            
(5星)	 内地片只有这样的历史剧能看看了，情节，美术都很不错            
