http://movie.douban.com/subject/1302958/	憨豆先生 Mr. Bean
(4星)	 我要一個豆豆男友！            
(5星)	 小時候最愛看你了。            
(5星)	 表演艺术            
(4星)	 永远的经典。棕色小熊是我的大爱。呵呵。的确外国的男人在这点上多了几分温情在。            
(5星)	 默剧一样的憨豆表演            
(5星)	 前几天听说 mr.been 老了着实还难过了一把！！            
(5星)	 14集的一个爆笑精选，我的郁闷甜点            
(2星)	 其实一点也喜欢不起来这人物,看着就开始谨慎恶心.这片子还是有点意思的,看英美怎么纠结地乌烟瘴气一团冷嘲热讽.            
(5星)	 你好可爱啊            
(2星)	 说实话，不是很喜欢这种类型的喜剧            
(5星)	 在电视上看过            
(4星)	 挺好笑的，就是好多情节都太夸张了~~            
(5星)	 了不起            
(5星)	 和亲爱的一起傻乐～            
(5星)	 我比mr bean还聪明            
(5星)	 ei ...            
(5星)	 太贱了            
(5星)	 这个想必没人不知道了吧~            
(4星)	 是哪一个灾难？            
(2星)	 不如《憨豆的假期》            
(3星)	 豆爺畫畫畫得真好-v-            
(5星)	 Mr. Bean Very Mean            
(5星)	 睡不着，咱数羊好吗            
(5星)	 一晃已经是20年前的喜剧了，现在来看还是经典得很，笑点丝毫没有时代痕迹。            
(5星)	 小时候的最爱呀            
(5星)	 每次看，都笑得不行            
(5星)	 憨豆人生            
(5星)	 小熊最萌了            
(5星)	 我最爱的bean~             
(5星)	 经典不用说的.            
(4星)	 。。。。。。。。。            
(NA)	 从小就开始看            
(3星)	 其实有点恶心            
(5星)	 百無禁忌的英格蘭狂人啊！            
(5星)	 还剩几集待补完。。            
(4星)	 笑死人            
(4星)	 很搞笑的一套喜剧系列片            
(5星)	 当年亏了tv版的豆先生让我的高三生活变得没有那么枯燥，真是很了不起的喜剧大师，怎么现在抑郁了呢？            
(5星)	 很搞笑很憨豆            
(5星)	 好玩~            
(4星)	 看完很开心            
(5星)	 看完还可以再看。            
(5星)	 最喜欢.太喜欢他的生活态度了            
(4星)	 艺术馆倘若来这样的一个人～ 天哪！ 一贯的搞笑 那件“拙作”还挺好玩的            
(4星)	 嘻嘻嘻            
(NA)	 这个...怎么看都是一个耽美剧呀...            
(NA)	 可爱的憨豆先生            
(5星)	 笑死了            
(5星)	 以前一直觉着憨豆脏脏的，虽然现在也觉着，但开始喜欢他了，看到我自己了，哈哈:D            
(2星)	 我知道为什么这片分高了，因为和《武林外传》一样垃圾。            
(4星)	 扫荡掉一切坏心情            
(4星)	 o(*≧▽≦)ツ┏━┓            
(5星)	 那时候我爸买了三盘憨豆的合辑，我靠着他度过了无数无聊的时光，现在不记得把他放到哪去了。我印象中那个总是欺负蓝色三轮小货车，给泰迪贴眼睛的Mr.bean已经不见。我长大了。            
(5星)	 mr. lonely            
(5星)	 感谢憨豆先森陪我过了个欢乐の中秋            
(5星)	  mr.bean             
(5星)	 童年的回忆啊            
(5星)	 当年笑得肠子都快掉出来了。。。            
