http://movie.douban.com/subject/3027029/	胭脂雪
(2星)	 要不是因为冰冰各种美的出演，真的看不下去这么离谱这么俗的故事            
(3星)	 妈妈每天晚上都要看。剧情明显到最后一集才能沉冤得雪，过程都是老一套陷害人的把戏。霍建华的台湾腔有点囧。范冰冰的衣服很好看。            
(2星)	 除了服装，基本就是个烂裹脚布外加fbb个人秀。严重怀疑编剧找的是廉价枪手，剧情粗糙到崩溃。            
(NA)	 《胭脂》范冰冰 《卸妆》江淑娜            
(4星)	 里面的服装挺漂亮，范冰冰的演技也不错。            
(2星)	 编剧很次很次 导演能选这么个剧本也够次的            
(4星)	 看的我想死了。。。太拖忒了            
(1星)	 连我妈都说各种抄            
(4星)	 情節緊湊            
(NA)	 呃。。。            
(3星)	 其實還蠻好看的!FBB真是個美人!服飾神馬的也超好看～            
(NA)	 补遗               
(NA)	 妈看时，我陪着看了一些~~            
(3星)	 不得不承认，范冰冰真挺好看的。            
(3星)	 范冰冰演的太软弱了            
(2星)	 我猜这个多半是范BB拿来自树形象的..可以编剧太离谱鸟....            
(4星)	 养眼啊。看得也揪心。            
(NA)	 照衣画样            
(4星)	 其实还满好看拉~            
(5星)	 我每多看一部電影 多讀一本書 多聽一首歌. 都昰為了能離伱的世界的中心近一些 再近一些。追逐著伱的腳步 試著了解伱的一切 把自己模仿成伱的樣子 把自己的世界裝飾得像伱的世界。可最後你還昰赱了. 我沿着伱赱過的路 想象伱當時的心情。也許等我超過了伱 就能把伱遺忘了吧。            
(3星)	 对范冰冰里面的发型好有感觉。。。            
(NA)	 1            
(3星)	 霍建华的扮相……实在是            
(NA)	 ……            
(NA)	 难得范冰冰明智得让自己的冰雪在此剧中灼目。            
(3星)	 对这个类型的剧比较有兴趣，只是FBB的这部剧，剧情比较牵强，构思不够严密，台词不够到位……            
(3星)	 如果看服饰，那满美的，其他……            
(NA)	 很不错~~            
(4星)	 太后看过的，mark下。            
(NA)	 于妈还能看的剧            
(5星)	 很漂亮啊            
(1星)	 还有这个狗血的虐剧。。。。            
(3星)	 范爷里面的装扮好美。            
(3星)	 范冰冰好漂亮，也很贤惠             
(3星)	 全是为了范冰冰和霍建华的美貌            
(3星)	 原来这也是于大妈编的啊。。。            
(NA)	 在家无聊的时候就是这样的            
(5星)	 clothes are beautiful            
(3星)	 大學時候寢室很多人一起看的看的。看范冰冰演賢慧的角色感覺真是奇怪！            
(3星)	 家族戏，范冰冰不错~其实这部戏还是蛮好看的。            
(4星)	 想不到最后，最毒的原来是那个老奶奶~NND            
(3星)	 除了圣母FBB和她的姘头管家活了 其他人全挂了。。。            
(3星)	 消遣            
(3星)	 霍建华很适合这样的角色呢~忧郁管家形象            
(3星)	 结局留个活口有那么难吗            
(4星)	 里面的衣服好好看            
(4星)	 真美！~            
(3星)	 徐静蕾。范冰冰。李宇春。            
(2星)	 恐怖的结局。真恐怖。            
(2星)	 瞎……扯……暴力……            
(2星)	 地震后的那个夏天，陪姥姥看完，无感            
(3星)	 服装很漂亮            
(3星)	 演员都比较养眼，冰冰太美了            
(3星)	 适当剧透的重要性，如果没有你，我怎么可能看！            
