http://movie.douban.com/subject/5967270/	你们我们他们
(2星)	 代表几米灭了你            
(NA)	 我受不了了            
(2星)	 看了五集都不知道是怎么看下来的....受不了了....= =            
(3星)	 总共十集，每集20分钟，十个几米的漫画故事，串联成一个童话。沉睡在童话里美是美，可是醒过来就糟了。            
(3星)	 糖妹啊！！！！:D            
(2星)	 几米的作品被如此糟蹋了。。无法继续看啊            
(3星)	 吴同学很帅~~没了~~            
(4星)	 情人节果阵系TVB度睇嘅，觉得好温馨啊。            
(2星)	 不喜欢。            
(4星)	 第一集出现zoom in的时候激动了一把啊！！！            
(4星)	 浪漫得太假了。~            
(2星)	 我是怎么看下来的。。凸。            
(NA)	 追不下去了....            
(2星)	 开心开心开心你妹啊我无语了啊            
(3星)	 徐子珊在这里有点儿傻，她还是比较适合演职业女性。。。            
(4星)	 诶。。。吴卓羲和徐子珊怎么就只是串场呢！！！            
(3星)	 漫画改编，不吵不闹。            
(1星)	 尼玛，演得不能更瞥了            
(NA)	 港式小清新~不习惯……            
(2星)	 组合式纯爱剧，很不TVB，相似的题材和结构loving you要好一些            
(2星)	 假到極點！            
(2星)	 其实我就冲着吴卓羲去的 可是这哪是TVB嘛！！！这货是偶像剧吧！！！弃之！            
(3星)	 SOMETHING ABOUT LOVE，一直喜欢几米的画册。不过剧情有些表达有点牵强，总有故事是好的，那是我们青春的散场。            
(NA)	 第3集 两颗不变心第10集 当旧毛衣遇上旧围巾            
(1星)	 有點像風景特輯lor。每集的海洋公園跟後面的故事連接得不順lor。第一集有堂妹耶!!!不過第一集很不香港。反而第九、十集比較真實。            
(4星)	 好特别的tvb.虽然一开始有点慢，但习惯了以后也有点味道。            
(3星)	 徐子珊还是慢好看的            
(3星)	 TVB难得的小清新爱情小品啊，看看还蛮欢乐的            
(2星)	 弃=_,=            
(4星)	 趁我还年轻，可以毫不保留地为爱付出；趁我还无知，可以完完全全地奉献自己；趁我还天真，可以相信爱你是一辈子的事。请你爱我的青春，爱我的痴狂，爱我的执着。            
(4星)	 还好吧 但是演员都不怎么样            
(5星)	 推荐哦我kao  没想到tvb会拍这类的片子！！！不错 不错！ 就是俊男靓女少了点，演员阵容不够强大。            
(3星)	 tvb换手机赞助了！第一集和最后集赞，tw取景。还特地把书翻出来看了下，觉得这把年纪已经不能从绘本里获得什么力量了。中间有老多糨糊。            
(5星)	 希望有更多温情小品电视剧出现，为它的创意和几米，加5星。推荐看。            
(3星)	 幾米畫作的改編             
(3星)	 一、三、十            
(2星)	 TVB的确不适合拍呕像剧... P.S. 卓帅就是传说中打酱油的嘎^^            
(3星)	 几米的这本书我是很喜欢的！可是这个短剧拍得真不咋的，尤其过多新演员非常生硬。相对来说，第9，10集内容还好吧，还是怀念书中的文字。            
(2星)	 只有几个故事拍得还可以，整体水平不怎么样。            
(2星)	 第一集风景美，之后都是尼康的广告篇。            
(2星)	 看了一半果斷棄。tvb拍不出小清新的感覺，不倫不類。但讓我想起多年前第一部四葉草，那時倒拍的很好。            
(3星)	 看了五集，玩情调。@20110314            
(5星)	 最爱第5集、第9集与第10集。            
(3星)	 噱头不错...            
(2星)	 改编自几米，20min一集。各种雷点，弃！纵使有Ron也看不下去啊。            
(2星)	 哼 根据绘本改编的电影从来没一部像样的            
(4星)	 纯爱剧 太童话 浪漫游离在现实之外            
(3星)	 基本拍出了原著的故事情节。。其他 都好山寨。。            
(3星)	 以前觉得狗血恶俗的小清新剧情现在看着看着也觉得特感动，于是我发现自己心一点一点凉了。            
(4星)	 吴卓羲你什么时候再演主角啊。。。虽然此片也不算。。。            
(5星)	 因为几米啊，，， 除了第一集 其他都还不错呀。            
(4星)	 似曾相识的感觉,再回望时已感觉遥远,你们我们他们Dropping By Cloud Nine!            
(1星)	 藝員訓練班學員的最好實習機會。            
(3星)	 TVB偶像剧的未来发展趋势已经有了。。。。            
(5星)	 不错            
(3星)	 阿ron是一个巨大的花瓶            
(NA)	 没看下去            
(4星)	 每个故事都是一段记忆。            
(3星)	 就把你们我们他们里面的几个故事拿出来讲了一讲 海洋公园真心不错 我好羡慕哦            
