http://movie.douban.com/subject/3010197/	山城棒棒军
(5星)	 看看现在的方言剧，之堕落，之庸俗，就没有一部能超越这个的            
(5星)	 大俗变大雅            
(5星)	 强烈推荐啊，四川和重庆的人应该没有没看过的吧。回忆。            
(4星)	 棒棒的电视剧，棒棒的剧情，棒棒的童年的回忆。            
(5星)	 这个也顺带复习一下好了~经典呀~            
(5星)	 小时候老爱看这个了。            
(5星)	 我的四川话 因为你儿改变            
(5星)	 读初中时看过，特别喜欢！剧中胖妹点火锅炸黑一桌人，笑得我们肚子痛！百看不厌，贴近农民生活的方言喜剧！            
(5星)	 10岁的时候为了看这个第一次对长辈使用了重庆最常用的骂人语句= =            
(5星)	 用郭書記的話說：棒棒的~！！            
(5星)	 蛮牛死得太突然了，55555            
(5星)	 98分！ 我已经看过100遍了！            
(5星)	 小学。            
(5星)	 川渝方言剧的顶峰之作，无法超越            
(NA)	 小时候特别讨厌我爸妈老看，不得不看            
(5星)	 小学时候看的            
(NA)	 哈哈哈哈哈~~~            
(5星)	 当年我根本我没有想到有一天我会去重庆。这电视剧是我了解重庆的开始一——————————            
(5星)	 懂不起重庆话的就表看老            
(3星)	 不喜欢重庆，更不喜欢重庆话。没办法···            
(4星)	 回忆之一            
(5星)	 现在生活在没有棒棒的城市，感觉生活都好艰辛。。。。            
(4星)	 都是些人情世故……对赵亮的印象特别深～            
(NA)	 小時候看的~印象最深的就是胖妹兒開火鍋開關的時候把一桌人的臉都燻黑了~~哈哈哈~            
(5星)	 地域标签。            
(5星)	 纯朴、写实、感人            
(4星)	 童年记忆啊            
(4星)	 哇咔咔多有爱的电视剧啊！！            
(5星)	 小时候看蛮牛死的时候真哩哭得好伤心哦~方言剧之经典，前五百年后五百年无人可超越~！            
(5星)	 开门七件事咿呀咿呀哟            
(4星)	 挺生活挺逗的，红了老长一段时间            
(4星)	 棒棒诶 曼拗~  （介都追溯到儿时了…            
(4星)	 这个真应该算重庆方言剧里最好的一部了~            
(NA)	 我很惊奇我也看过这个!            
(5星)	 小时候最喜欢的方言剧没有之一            
(5星)	 貌似最后一集还把我看哭了。            
(5星)	 绝对是方言剧的经典。            
(5星)	 我小时候看的             
(5星)	 还有那个年代的重庆            
(4星)	 重庆人啷个可能没有看过嘛·可惜梅老坎死了·            
(5星)	 怎能不打五星？！            
(5星)	 难以替代的经典            
(4星)	 想不到这电视剧居然这么受欢迎 应该是最开始的几部重庆方言剧了 确实很朴实 很生活 在喜剧中也有感动 棒棒成了重庆文化的一部分了            
(5星)	 蛤蛤            
(5星)	 已经成为一种那时重庆的记忆            
(4星)	 小学的时候最喜欢看的电视剧，家乡味十足。            
