http://movie.douban.com/subject/2153595/	欲望都市 第四季 Sex and the City Season 4
(3星)	 CARRIE已经讨厌到了一个让我考虑要不要看下一季的地步了。            
(5星)	 口语，我就拿它练了！！            
(5星)	 这一季里找到太多自我映照 一度卡牢难以为继            
(NA)	 我爱Samantha, 虽然不够美丽，却十分自信和有魅力，她是我想成为的，Miranda比较符合我的情况，可我是要自卑许多。Carrie小女人啊，大家最爱啊，Charlotte，虽然有一切优点，但我不感冒。            
(4星)	 女校日子裏就靠這個消磨了            
(4星)	 越来越讨厌凯莉            
(NA)	 致纽约。            
(3星)	 这一季的Carrie真是不可理喻            
(4星)	 Carrey的肢体、表情夸张到了极致，并且，她相当犯贱。对自己好的男人，她都不珍惜。看这季的时间跨度很长，到结尾突然理解为什么Carrey那么爱Big了。            
(5星)	 我喜欢艾登            
(4星)	 真是一直没变的好看            
(5星)	 美剧 Sex the and City HBO 电视剧 美国             
(5星)	 经典            
(5星)	 第四季是最好看的一季            
(5星)	 People come and go,we&#39;ll meet the right if we are lucky.            
(5星)	 第四季            
(5星)	 Loneliness is unbearable,love is the cure. Relationship is the disaster, love is the remedy.             
(5星)	 Mr. Big makes me think of you. and that&#39;s why I called you that night. we are fine, back to friends now, and for good. I am not sad at all.             
(5星)	 这一季前面特别棒，有好几集的结尾特别特别治愈，后几集稍烂。Aidan短发帅多了；Carrie倒是越发不讨人喜欢了……            
(5星)	 what if u make a mistake and miss your fate?            
(4星)	 看完这季 迷上S。当她因为C说艾登的结婚戒指丑而偷偷去帮他，只因为希望自己的朋友幸福。感动于她的仗义，佩服于她的理性以及聪明。            
(4星)	 WOMEN ALWAYS NEED LOVE            
(4星)	 喜欢Adm！            
(5星)	 warm            
(5星)	 Heart breaker...            
(5星)	 每句台词我都想背            
(5星)	 samatha太帅气。            
(4星)	 Sarah Jessica Parker             
(4星)	 大一．            
(5星)	 Favourite            
(5星)	 感叹最后一集结尾的话，所有好的不好的才成就现在的我们。            
(NA)	 有点过度夸张了。            
(5星)	 献给我们的纽约。            
(4星)	 一夜的火车，一气儿呵成地看完，觉得吧，carrie真的就是一个字，作。。            
(5星)	 好喜欢Aiden~~~可惜了……            
(3星)	 Aiden真完美。            
(5星)	 第四季艾登好帅啊~~            
(5星)	 Carrie和艾登真是太让人无语的一对了。那么一个好男人你都不要是谁的错TVT也许不是MR RIGHT终究都不对！？！SASA居然恋爱了。真是奇迹~Miranda这季美爆了。无论是发型发色还是衣服~prefect！这几个女人没有特别喜欢也没有特别讨厌的= =            
(5星)	 很爱艾登⋯⋯            
(NA)	 最好年份的一季            
(4星)	 开始精彩了。            
(5星)	 最后一集看哭了。。            
(5星)	 有两集看得热泪奔流 于是加一星            
(5星)	 我也是 最喜欢的一季 每个人都在这一季里改变了很多的想法 米兰达怀孕了 萨曼莎堕入爱河了 喜欢艾登 但不希望Carrie跟他分手 好吧 我的确很喜欢第二集Carrie走秀的那一幕 我看了一遍又一遍            
(5星)	 最后已经很温情            
(4星)	 第三季是五星季            
(4星)	 最温馨的一季  或许是因为没有和BIG纠结吧PS.特别讨厌Carrie  没点自尊  自私的bitch            
(5星)	 像Carrie一样活。            
(NA)	 现在asshole变成carrie了            
(5星)	 爱死最后一集。熟悉却叫不出名的那段音乐，出自the best of Henry Mancini.大概就是在这集对BIG改观了。在乐曲中起舞那段和片尾都太有爱了。Dedicated to our City of New York...Then,now and forever.            
(4星)	 S4是一个转折，M有了baby，C向旧生活告别，S难得地付出了一次感情，而C又与男友分了所以Big有戏了。            
(5星)	 我好喜欢Aidan的...&gt;&lt;            
(5星)	 我想成为SAMATHA，可我却是CARRIE            
(NA)	 听力 练起来~            
(3星)	 老了 都老了            
(4星)	 一季一季的加，累不累人阿。            
(5星)	 六季里面最精彩的一季..纠缠啊纠缠            
(5星)	 她逃不开MR big。。。            
(NA)	 那些美好的日子啊，被一被电视剧改变            
(4星)	 还不错            
(NA)	 看过一些..            
(5星)	 这是我最喜欢的一季            
(4星)	 say 88 to Aden            
(5星)	 Nyc            
(4星)	 Sex and the City             
(4星)	 我似乎不应该按每一季来写影评，应该是把所有都看完了再来写影评才对！这样才会有一个整体的感觉！因为毕竟它的每一季都是有相关性的，并不是独立成章的！            
(3星)	 a bunch of stupid girl talking about love n sex            
(5星)	 即便Aidan是如此的完美，他依然是Carrie的Mr. Wrong。我稍微可以开始换个角度理解Carrie+Big了。            
(4星)	 C：不能和对的人在一起是因为改不掉错的自己。S：做独立的女人，找专一的男人。            
(4星)	 我也始终认为，他们应该一直走到最后，像carrie口中所说，他是克莱勒斯大厦，她是布鲁克林大桥，同样闪着30年代工业时期繁荣颓废的金光，黑白颠倒的生活，红酒舞会黑胶唱机henry mancini，相同的开放的生活态度和随性肆意的生活节奏，they really match！别忘了尽管真爱难寻但并不唯一，对吧乡村木匠男            
(5星)	 艾登简直完美男人啊。            
(5星)	 这季凯莉的妆容和衣服都超级美的！！而且服饰的配件也是相当得美，比如帽子、首饰、绑在手臂上的丝巾等等。。Anyway，这季四人的服饰都很美的说～～可怜的艾登，感觉凯莉每次和艾登在一起，她身上的所有缺点都会放大，不过即使她很bitch，但是在这季中感觉也找到了很多自己身上的影子。            
(3星)	 SJP是个马脸女            
(5星)	 怎么不拍个十几季 以我这种进度不够看啊            
(5星)	 美帝真是亡我之心不死啊            
(5星)	 这季有大量Aiden的戏份所以特别揪心，Carrie绝对是有Daddy Issue不然怎么会弃A求B啊！！            
(5星)	 我的看过里怎么可以没有SATC            
(5星)	 一季比一季对胃口，一季比一季喜欢律师女，每次她的台词我都爆笑啊！！plus，一季比一季讨厌片头和片尾曲，怎么不能像trueblood那样换换歌之类的，听的都快吐了。。。            
(5星)	 作为主角中的主角Carrie怎么就那么讨厌            
(4星)	 这一集看得太久了，断断续续的呵呵            
(5星)	 精彩在继续。。。。            
(3星)	 我非常非常喜欢艾登，可是不是你认为好的，对于她也是最好的            
(NA)	 还会经典一些时间的            
(4星)	 后半季人物都太情绪化了，心生反感。            
(4星)	 S04让我越来越喜欢Aiden。这季很欢乐。            
(4星)	 I&#39;m tired of it...            
(5星)	 Carrie又恢复单身了            
(5星)	 女人和一座城市的恋爱。            
(4星)	 这一季让我非常郁闷            
(NA)	 我们都在追寻最爱的，而错过最好的。            
(5星)	 艾登绝对是五星男人。            
(4星)	 after all ,seasons change,so do cities.people come in to your life and people go.            
(NA)	 除了对于凯莉与艾登的感情处理之外，堪称前四季最佳。            
(5星)	 喜欢就是喜欢，需要什么理由哦！            
(5星)	 5.  little by little, i love Miranda and Simantha. Carrie, she&#39;s fashion but a little selfish.            
(5星)	 Carrie和Aden分手了，Big去法国了，Miranda生孩子了，Samantha被一个男人迷住了，Charlotte离婚了。Do we miss our fate?            
(5星)	 这季死不结婚的carrie让我很讨厌。            
(4星)	 依旧是后半段渐入佳境            
