http://movie.douban.com/subject/3402975/	败犬女王 敗犬女王
(4星)	或许不是每一只败犬都能遇到属于自己的卢卡斯，但是每一个女人都应该懂得爱自己。
(5星)	一个人想要变成两个人。有这么难麽。人生的过程。是一个梦想。连接着下一个梦想。偶尔还是会期待那个永远不上线的人突然出现。或者是说期待那一串曾经熟悉的电话号码再次出现在自己手机里面。偶尔还是会想要偷偷知道他的近况。还是会想要偷偷关心他过的到底好不好。但只是关心。仅此而已。不是等待。等待没有希望的曾经。而是去等待下一次动心的机会。下一个对的人。等待未来。原来思念。就像养一盆植物。静静的。你却无法忽略它的存在。
(4星)	虎头蛇尾的一个电视
(3星)	每次看到女主都觉得是郑秀文
(3星)	允浩之后扣一颗星
(4星)	呃……我竟然在看台剧……
(4星)	台湾偶像剧已经不拿观众当十五岁小孩了，已经到十八岁了，可喜可贺，阮经天彭于晏明道出现在同一个电视剧里的话我可能分不出来，就跟看马特戴蒙和莱奥纳多在美国无间道里一样。。。
(3星)	男主角是个烂情的大贱人内~~~拉拉拉~~
(4星)	（1-10集都很好，后11集比较狗血，结局不错）绿光开始喜欢阮经天，命中变成讨厌，败犬后又开始喜欢。谁说单身就是败犬，剩女是王道
(4星)	前十集饶有兴趣追，后十集只看了18和21
(4星)	終于又有齣臺劇激起我煲劇癮..BTW阮经天太美麗啦!
(3星)	后面没前面精彩
(4星)	欧~ 还不错哦 就是情节太tm拖沓了
(3星)	谁说胜犬就一定是幸福的?!..
(4星)	wow：）
(4星)	为狮子女~
(5星)	我真系觉得好好好好好睇.结局完美!
(3星)	没有耐心看完。
(5星)	好看死了！
(3星)	脸好长
(3星)	妈的真脑残。不过呃。我还是很哈阮经天的长腿啊啊啊啊。
(3星)	前面很好看，后面很拖拉。两个人谈恋爱的时候好肉麻。唉。剧本还是有不少硬伤，可以更好。台湾偶像剧和韩国偶像剧的差距不止在制作上，剧本也还有提高的空间。
(4星)	女王有很多，卢卡斯很少。看见前几集的女王，真的有心疼她的感觉。原来是一部带浪漫搞笑色彩的现实电视。
(4星)	最后春枝和大方结婚了，让我坚定的认为卡斯一定会和无双结婚。
(5星)	这部片子最火的时候不想看是因为不喜欢阮小天，命中注定什么的我到现在都不明白怎么会火成那样。这部剧虽有些拖拉，两人在环岛旅行就能结束的戏码才是台偶的结局啊，但就特别在后面的现实。剧内人物的豁达和积极的情绪确实感动了我，有些事情实在不需要太在意而作茧自缚，坚强追寻梦想和快乐才是王道
(5星)	不错
(4星)	终于把它看完了！我爱败犬\(^o^)/~
(5星)	等我30岁嫁不出去，这一定是我每周必重温的剧！“你值得被真心对待”这句也是我感情洁癖的开始啊，唉。
(4星)	这是这几年唯一能看进去的台湾剧。
(5星)	又一次被偶像剧俘虏了。看到剧中的某些情节就会想到我们。那些画面对白和感受都能感同身受。已经很久没有为偶像剧激动的感觉了。重点是这片子一点都不白目有投射很多事实和道理在其中。最最能吸引我的还是小天啦~真的爱死了冒桃心~╮(╯▽╰)╭
(4星)	温升豪很帅。这部剧到“女王选择学长”这段就可以剧终了。我也只看到这里就不再看下去了~受不了可预见的纠结戏份。
(NA)	人生没有败犬，失意时看此片就像打了强心针。每次都让我变得振作。
(NA)	难得让我看的下去的台剧。不过我从十多集开始就没耐心直接看结尾了。
(NA)	未完
(4星)	好拖沓，但是演得很好，而且没有其他偶像剧那么做作。
(4星)	卢卡斯100年才有一个，少看偶像剧少做梦才是正经事。
(4星)	大龄单身女青年の血泪粪斗史
(4星)	Stay with me..........
(5星)	阮经天和杨谨华 哇！当然要看 。。。。
(3星)	台剧真是太拖拉了。看了前10集，18集和最后半小时。18集其实是很完美的结局。电视的结局很美好，可是现实生活里的单无双，等不回学长，也遇不到那个完美的卢卡斯，而曾一直守护的弱鸡最后也和别的女人结婚了。
(3星)	打发了这个五一假期
(4星)	虎头蛇尾，一分给小天
(4星)	因为我老妈在看。。。。。。
(4星)	其实 杨谨华 跟刘若英没差多少，但是为什么就刘若英上去了？杨谨华不错的！
(4星)	断断续续看了半个月，植入广告也很多，但是为什么大家只说他们的情节如何如何而我们内地的电视剧却要被抨击的体无完肤呢？
(3星)	哇哈哈哈！胜犬、败犬根本就不重要，要让自己快乐才最重要！
(4星)	看了几集 这不是整个一个我嘛 阮经天赶紧来找我！
(4星)	近几年看的唯一一部偶像剧~
(4星)	不晓得为毛居然觉得很好看！
(5星)	我们都还活着，我们还相爱，就算不在一起又怎么样！
(4星)	后边就没劲了~
(5星)	他人眼中的败犬与胜犬并没有那么重要，即使婚姻到了只能谈条件的年纪，找个喜欢有感觉的人依然是最重要的事。
(3星)	偶像剧存在的意义就是杀时间 和 流泪的借口
(3星)	谁说单身就是败犬？如果是写蝎座女人我会考虑多给一星……
(4星)	终于看完了，虽然有偶像剧的不合情理，也还是有很多闪光点啦。
(3星)	前面超好看，后面拉太长了。所以只给三星了。
(3星)	嗯 三星是给帅哥们的
(4星)	搞笑的，^_^，特别喜欢那个大嘴巴。
(3星)	越看这女人的鼻子越觉得假。。
(NA)	这种片子看几集够了。。又是无奈陪老姐看的呗~
(5星)	我要做女王 單無雙。
(5星)	被觸動到了。深深的。
(4星)	败犬由谁决定？
(NA)	这是个为了新闻不要命的记者，但这只是她的伪装。
(4星)	结局烂俗掉了。
(3星)	在我心里你就是女王。
(NA)	很狗血
(4星)	偶像剧的经典之作。杨谨华人美演技好！
(5星)	阮经天我的最爱啊~~~
(4星)	现实感有欠缺 但温情
(5星)	要是压成18集就完美了
(4星)	爱啊，不在乎未来，只在于这一刻我想依赖在你身边~时间不会带走爱，只会证明爱。
(4星)	【败犬胜犬都无所谓 最重要的是你自己快不快乐 谁说单身就是败犬】剧情有点拖……所以给4颗星
(4星)	我爱败犬女王
(3星)	前11集很精彩，后面还是俗套了
(5星)	阮经天不帅，是可爱。
(5星)	无论是胜犬还是败犬，幸福的定义都是一样的，就是活的开心。谁说败犬就没有幸福？
(5星)	“勇气不是天生的，是一点一滴累积而成的。”
(3星)	最近生活充斥低俗电视剧ing
(4星)	后面太拖沓了~
(NA)	我靠我他妈竟然喜欢上阮经天了 就是迷恋天蝎男
(NA)	只有前十集好玩儿，后面十一集都在灌水。
(NA)	我实在看不下去啊看不下去
(3星)	咪咪眼。
(NA)	还满喜欢的
(5星)	感动。
(4星)	女王不错哦。
(4星)	完美爱情。存在吗？
(4星)	败犬常有，而卢卡斯不常有
(3星)	剧情超傻B，三颗星全是给杨谨华这个对我胃口的女人的。
(5星)	看台湾偶像剧也能学到知识呵~
(4星)	我爱小草莓
(4星)	好taipei的剧情
(5星)	很久没有看过这么好看的台剧了，甚至于像个小女生似的置身于剧情中无法自拔。呵呵，现实终归是现实。差八岁的姐弟恋。。。。。。。。
(5星)	为了阮经天……
(3星)	作为一个同样30出头的未婚女人，俺或许完全能够体会：那是一种迫切希望结婚，但并不知道为什么要结婚的心情；一种在心底深处还希望可以单纯凭借“感觉”去恋爱，却不得不小小的考虑“条件”去恋爱的心情……
(5星)	杨谨华 原来是她！当医生黄玉荣与无双杨谨华相见的时候，突然意识到原来杨谨华是她！台北朝九晚五里面的那个女主角。果然她和黄很搭戏。再见到她 好激动！！！！ 
(3星)	突然就想说去金陵中学找个高中生谈谈恋爱看，哈哈
(NA)	讨厌~阮经天你怎么那么可爱啊~~~好害羞哦XD
(4星)	这四星全是给女王和正太的美好组合！
(5星)	看过的最好的台湾偶像剧，感谢它陪我度过了2010年无聊而沮丧的春节。
(4星)	还是有可取之处
(NA)	嘻嘻 阮经天······
(3星)	台湾偶像剧什么时候才能10集左右适可而止啊，好好的活泼可爱小狼狗拖成了神经兮兮咆哮马，怨念
(5星)	好久没有看到男人有萌的感觉了我日
(4星)	瓶男啊瓶男
(5星)	上帝啊赐我一个卢卡斯吧！！！
(4星)	种马！呵呵呵，开头好看  后面不好看
(3星)	居然用3天时间煲完.....阮经天啊~你长得还不赖嘛~哎呀呀~好耐无睇台剧了...
(4星)	被台剧煽到了···囧
