http://movie.douban.com/subject/2124746/	溏心风暴 溏心風暴
(4星)	 港劇的質量堪稱兩岸三地之首了。。            
(NA)	 娇娇~            
(4星)	 我在这狗血剧中洒自己的热泪            
(5星)	 黄宗泽在里面很帅            
(5星)	 陈豪的表演很出彩。            
(4星)	 我很久没看一片儿笑成这样……            
(4星)	 远不及家好~但因为程亮和常在心的爱情~给四星~             
(3星)	 看了一些            
(5星)	 是我口味独特吗？我觉得1好看一些            
(NA)	 何以引起全程话题。林峰和常在心的相遇较有特色。            
(NA)	 watched the last few episodes only but REALLY FUNNY            
(3星)	 香港热播，我却不感冒            
(3星)	 只想写一句却越写越多,索性都删了,还是回去写博客吧,            
(4星)	 看了22集。。以后再续吧 前面的很不错             
(3星)	 你个仔搵你，我搵你            
(4星)	 - -其实嘛。。。道出了新马司曾那件事而已。。。            
(4星)	 常在我心，以及于素秋，最好的名字都给了钟嘉欣            
(4星)	 燒淚。。太燒淚了。。            
(5星)	 只是心疼那份爱情            
(4星)	 溏心风暴             
(NA)	 未完            
(3星)	 林峰真当是帅            
(NA)	 喜欢林峰和钟嘉欣            
(5星)	 硬伤太多。但是我好喜欢细契啊，关菊英无敌了            
(4星)	 这样劈腿，如此补偿，我也能原谅～            
(4星)	 常在心~~            
(4星)	 大家族的情与乱。当然，我当初主要还是爱吃鲍鱼才关注的。            
(4星)	 坏人变好太容易了            
(3星)	 我觉得一般般            
(5星)	 开始对林峰改观了            
(4星)	 即使多风光都要清醒，有几多掌声也是孤清。我对（重播的）港剧完全没有抗拒力~            
(4星)	 陈豪太呆了            
(2星)	 不知道幹嗎那麼高興……            
(4星)	 过。            
(4星)	 MY LOVE WILL GET U HOME            
(4星)	 第一萌林峰+钟嘉欣+蒙嘉慧+陈豪的复杂四角恋，私心希望常在心甩掉alrfed，和小鲍在一起。第二萌咸蛋超人眼黄宗泽+猪公嘴杨怡，前面有料，后面鸡肋.....泪ps 在同学的提醒下，我才想起来这还是个豪门争遗产片......囧 ...后面不追的原因是小妈长得无比丧气....            
(1星)	 好难看的一部戏一群人            
(4星)	 水掰掰            
(NA)	 林峰！！！            
(4星)	 常在心！            
(5星)	 很久以前看的            
(4星)	 林峰+yoyo是亮点            
(4星)	 还不错，就是太能墨迹了，老是回放，当时ALFRED的日记一写就开始回放，日记写完了再读再回放，OMG。            
(4星)	 好看！            
(5星)	 超棒            
(4星)	 我第一次坐在电脑面前24个小时看电视剧            
(3星)	 揪心啊，TVB啊，            
(1星)	 剧情烂，人物假            
(NA)	 我讨厌里面的小妈，尽管喜剧收场。但不能抹去她像那个最不疼我的近亲的模样。            
(4星)	 很好很好            
(3星)	 还是俗套了。虽然的确有新的地方            
(3星)	 ……太磨人耐性，小肚鸡肠的人会满世界都有么            
(3星)	 夏日时光大消磨            
(4星)	 催泪弹来的            
(4星)	 林峰……            
(5星)	 很虐心……林峰怎么又帅了            
(4星)	 天下无不是母亲            
(5星)	 戏剧冲突多            
(4星)	 大鲍..            
(3星)	 这辈子有个还可以这样的朋友，足矣。常在心是幸运的，遇到患难之交，她也是不幸的，碰到了程亮，但结局是美好的。蒙小姐的演技很差，毫无特色，是本剧的败笔。            
(5星)	 有看头。            
(3星)	 居然唱K时候在一只周慧敏老歌MV里看到当然还是Model身份的陈豪.            
(4星)	 恶补完毕            
(4星)	 好看的。            
(NA)	 欢乐有时 悲伤有时            
(4星)	 白羊男+白羊女+射手男+狮子女            
(4星)	 传统又超级符合主流价值观的“得得地”港剧，如若细节多加刻画就更“得”了            
(3星)	 不怎么好看。实在忍受不鸟ZB的钟嘉欣。。灭看完。。不过关菊英演技到底是老辣            
(NA)	 还不错            
(3星)	 林峰很帅，钟嘉欣很丑            
(4星)	 编剧也是个EF，鉴定完毕。            
(4星)	 有口是和,無口也是禾。            
(3星)	 一个花心男人不听正房劝告造成家破人亡的无聊透顶的故事╮(╯▽╰)╭            
(5星)	 好久以前看过的了……            
(4星)	 搞不懂怎么就喜欢黄宗泽了我。。。哎            
(4星)	 狗血啊            
(4星)	 常在心总是哭好烦。坏人坏的太出神入化了。狗血大团圆结局，难道坏人不应该得到应有的惩罚吗？            
(4星)	 好喜欢嘅            
(NA)	 乙方向甲方承诺 乙方会一直爱护甲方 无论甲方将来遇到任何困难 开心或是不开心 乙方也会守在甲方身边 此承诺为一生一世 其实我最心疼的还是分手之后的程亮            
(3星)	 虎头蛇尾            
(3星)	 港版《同一屋檐下》，港版福山雅治啊~~~            
(4星)	 虽然看多了TVB 总是那么几个老演员 和一些陷害误会冤枉 然后最后坏人得到惩罚 好人终成眷属 的圆满结局 但至少比大陆的青春偶像剧好看。            
(4星)	 T这几年比较好的片子            
(5星)	 当初我每晚都看= =            
(NA)	 TVB剧 回归            
(4星)	 与世隔绝与世隔绝，专心宅家里研究港剧。腐烂掉的人生哦，啧啧。            
(NA)	 黄宗泽比林峰帅            
(5星)	 看完             
(NA)	 07            
(NA)	 是黄宗泽不是王宗泽，豆瓣弄错了            
(3星)	 电视剧真的很一般，就是大契是个有突破的形象。此外这个剧最喜欢的就是常在心，从此就开始喜欢钟嘉欣了~~看珠光宝气真是不敢认那个家伙是她演的啊。。。            
(4星)	 蒙嘉慧很美            
(3星)	 要狗血还得看港剧            
(4星)	 好吧~港剧就是很喜欢拍豪门恩怨~争产~            
(3星)	 得得滴            
(3星)	 挺傻的            
(5星)	 挺喜欢。            
(4星)	 09年春节假期。挺好看的            
(4星)	 常在心间，一家人。。。            
(NA)	 离开常在心的日子第285天。            
(5星)	 好看！经典！！！欢笑感动的家庭剧~~            
(4星)	 祖蓝演幼稚小孩..哈哈哈哈            
(4星)	 越发的喜欢陈豪了            
(5星)	 开心又富有生活哲理，小鲍是我的偶像。            
(2星)	 陈豪造型很二，黄宗泽造型很丑，yoyo甘靓噶！！！            
(3星)	 太折腾了            
(4星)	 很感动的说……            
(4星)	 据说还可以。真的还可以。我喜欢常在心。            
(2星)	 别再让钟嘉欣出现在我面前 成吗            
(5星)	 你～当我是浮夸吧～            
(4星)	 蛮好蛮好            
(4星)	 不晓得为什么吸引了我            
(3星)	 实在不是很喜欢家族戏。。。            
(3星)	 常在心            
(NA)	 my love will get you home            
(4星)	 if you wander off too far, my love will get you homeif you follow the wrong star, my love will get you homeyif you ever find yourself losing long alone, get back on your feet and think of me, my love will get you home, boy, my love will get you home            
(NA)	 程亮的悲惨人生……            
(NA)	 我觉得那个什么常在心很讨厌            
(4星)	 其实挺好看的。。。。            
(4星)	 还可以的剧            
(NA)	 为色摸这么像。。            
(NA)	 好喜欢得得滴~~~            
(NA)	 额。            
(4星)	 我好喜欢唐至欢            
(NA)	 因为喜欢林峰才看这部片子。喜欢他们家里的那种团结，亲情很浓厚，虽然其中有误会，我争执，不过最后是打团员！程亮和常在心，或许程亮很花心，但是他很爱常在心！～            
(2星)	 特别讨厌小妈那种女人。不过好像小妈多半都是那个样子的            
(4星)	 超庞大的家族戏。前半部真的蛮好看的。只是后面有点乱呐。喜欢陈法拉。            
(5星)	 我就是喜欢的得地讨厌ALFRED            
(3星)	 程亮挂得好突然好刻意            
(NA)	 老澤經餓            
(NA)	 还可以            
(3星)	 我喜歡黃宗澤這樣的男人和鐘嘉欣這樣的女人            
(3星)	 说实话 很不好看 现在的新人我一个都不喜欢 还是以前的TVB好            
(3星)	 喜欢常在心和程亮。鲍鲍好可爱啊。            
(5星)	 确实好看！            
(4星)	 蒙嘉慧，钟嘉欣。。。林峰的戏份好少的            
(5星)	 去年看的~妈妈也喜欢·暑假久应该看电视剧过日子            
(3星)	 电视伴我备考啊~~~~~~~            
(1星)	 又是家族斗争，看着难受            
(4星)	 很好看。陈法拉钟嘉欣都很靓。            
(4星)	 被怂恿的~            
(2星)	 真想不通居然还是TVB年度大戏。还要拍续集            
(5星)	 超级好看的一部            
(NA)	 TVB            
(4星)	 好精彩啊.......            
(5星)	 07年的大赢家.林峰在里面戏份很少.游离在故事之外但很是受人追捧.            
(5星)	 林峯真可怜...            
(NA)	 黄宗泽             
(3星)	 TVB的电视剧很不错            
(4星)	 很特别的TVB模式```            
(NA)	 林峰是学长。。一定要捧场。当时跟妈妈一起看的。            
(5星)	 稀饭大干            
(NA)	 哭的最厉害的一次，因为少爷            
(3星)	 有点啰嗦            
(5星)	 阵容强大啊~坏人坏到根 好人过于好~林峰是大爱~~            
(5星)	 2007最喜欢的港剧啦。            
(NA)	 让我感动的是常在心和程亮的故事。家族战争看多了            
(NA)	 插曲好听            
(5星)	 超钟意尕一套电视剧            
(4星)	 TVB拍的都还蛮无敌的            
(4星)	 又一出勾心鬥角的好劇            
(4星)	 四星给心亮，残破而完美的爱。            
(4星)	 温暖和残酷并进。每个人物都很丰满，除了陈法拉的角色有点酱油。程亮和常在心的情感故事太虐了，my love will get u home和vincent两首歌穿插的很美，陈豪的存在真是温暖。最赞的必须是关菊英演的这个角色，虽然最后一集突然就觉悟有点突兀，还有大妈那个角色各种一呼百            
(NA)	 【2007-04-09】            
(NA)	 FINAL期间两天干掉一部剧的光荣传统            
(4星)	 很温馨            
(5星)	 我话系就系，唔驶证据！呢度唔系法庭，唔需要证据，我对眼就系证据=这里不是法庭,不需要证据,我看到的就是证据。/不贤妻, 不孝子,顶趾鞋,无法治。/唔使惊，啊妈系大厅。 好经典的台词好温馨的港剧            
(5星)	 看了这之后狂爱林锋            
(4星)	 退一步海阔天空            
(4星)	 那首vincent,因为常在心再也讨厌不起来夹心了            
(3星)	 陈豪，你肿么可以这样纸，伤不起            
(4星)	 当时真心喜欢常在心。            
(3星)	 港剧永远是电视上一演就一定会停下来围观的剧种            
(4星)	 其实我还是很爱看这种经典港市家族伦理剧的啊！！！            
(3星)	 好看，想到大连            
(3星)	 太长了。好和坏往往不是臆断出来的。            
(4星)	 鈡嘉欣在這部裏面還是很好看的,又討喜..除了男盆友被車撞死了以外0 0            
(4星)	 檻未過，結未解，芥蒂還在，再在一起不一定是相愛的兩個人最好的答案            
(4星)	 第1个发现是黄宗泽真的帅到不行。第2个发现是林峰的戏哭死我了。第3个发现 My  love will get you home 和Vincent很好听。第4个发现是溏心风暴真的很好看            
(3星)	 40集家庭剧 俺觉得俺的听力从0.1版升级到了1.0版 = =|||            
(4星)	 还是觉得ALFERD死了很遗憾....没有看到我原谅你四个字.....还是希望他们能在一起...得得地十个好男人...            
(4星)	 TVB很早的片子了。读大学的时候看过。现在再看，觉得，总是被里面的傻逼女人气得半死。我要淡定。            
(4星)	 不大喜欢常在心            
(5星)	 常在我心。            
(4星)	 程亮，心疼你，亦不能原谅你。            
(3星)	 我在电视上瞄到这部电视的时候，是程亮的“常在心离开我多少多少天”，程亮死掉的部分，我哭得要死，至死都没看到的原谅也许是心结，让我最难受的却是他最后的最后，电话过去只是牵挂着她的官司。所以，我一直都没有办法接受常在心后来跟还可以就那样在一起了。            
(4星)	 标准港剧。师奶斗法。商人斗法。男女斗法。比较有感觉的是常在心与程亮的感情故事。TVB牛逼就牛逼在每次在俗的不行的故事中来那么一点点新意，就让人直呼过瘾了。还有大妈，感觉她死了，整个戏就塌了一半儿。李司棋红遍两岸果然有理。            
(5星)	 bosco在里面很帅。            
(4星)	 My love will get you home            
(3星)	 看的好散乱了，有空重看吧，话说对这种剧还真没多少抵抗能力，杀时间最强项剧集            
