http://movie.douban.com/subject/2287889/	寇老西儿
(NA)	 补+ 小时候你懂什么叫演技！            
(NA)	 葛优+陈道明，挺诡异的造型            
(5星)	 还是上初中时候看的，葛优演的电视剧可不多哦！最喜欢电视剧里片尾曲，因此我还吻过一个帅哥呢……            
(NA)	 啊哈哈哈            
(4星)	 陈道明在这部里面的演技才叫经典            
(NA)	 囧囧有神的好片儿            
(1星)	 为了搞笑而搞笑，可惜了里面几个好演员，演的没有任何问题，但剧本太差了。            
(5星)	 可称的上是国产电视剧的颠峰之作。            
(NA)	 陈道明那样儿。。。            
(4星)	 老皇帝和皇妃超萌，皇帝老骂皇妃是贱人还踹她，皇妃完全不在意阿哈哈哈            
(5星)	 准备再去下了看看。            
(3星)	 一把老戏骨,一坨烂剧.            
(NA)	 小学时候在季老师家看的 特逗            
(2星)	 烂剧            
(4星)	 嘎嘎嘎，笑死我咧~~            
(4星)	 怀念            
(5星)	 这就是我爱上陈道明的第一个片~~~八王爷~~~八王爷~~~您收了我啊八王爷~~~~            
(3星)	 都快忘了。            
(NA)	 我只是马克一下            
(4星)	 陪外婆看的            
(5星)	 当年有几遍我就看几遍。从这部才喜欢陈道明的。            
(4星)	 演技，除了40岁以上的演员，其余都不能看。            
(5星)	 当年逗死我了~            
(5星)	 全明星 我觉得挺好的            
(4星)	 小学时了            
(NA)	 一股子醋劲儿            
(NA)	 朱晏美呆了            
(NA)	 寇老西儿，做好官，做大官，清清白白睡得安            
(4星)	 寇老西儿，做好官，做大官，清清白白睡得安，下有黄土上有天blablabbllla            
(NA)	 九七年前后吧，在谢家村，一家卖水产的福建人家。            
(4星)	 回忆多美好啊            
(4星)	 我也爱喝醋            
(NA)	 主题曲儿现在还记得~寇老西儿 做好官~            
(NA)	 啊~葛大爷的~            
(2星)	 我小时候看觉得很无聊= =            
(4星)	 小时候看的  挺有意思            
(NA)	 哈，道明叔            
(5星)	 精品。只能说多数人不识货。            
(4星)	 还记得叔当年孤独的蹲在御书房门口喝醋的小背影。。。那个沧桑。。            
(4星)	 喜感囧剧。            
(NA)	 遥远的记忆呀            
(4星)	 竟是我童年的偶像！！~~！~~            
(4星)	 葛优陈道明小萤幕上的制作，也算得上是上世纪的神剧了啊            
(5星)	 红颜最难得知己，红尘一去千万里；寄我柔情于风雨，东风吹尽西风起。            
(4星)	 喜欢那时候的明叔            
(4星)	 都记不得内容了，很久了~            
(5星)	 其实我都不太记得里面的东西了童年的记忆            
(NA)	 乐死我            
(4星)	 喜欢这个连续剧,还是上高中的时候看的呢            
(5星)	 这部剧太逗了            
(3星)	 为数不多的烂片……            
(3星)	 ...            
(4星)	 打破那张鼓            
(5星)	 陈道明 陈道明 陈道明            
(5星)	 小时候很喜欢，依然对那段历史知之甚少。            
(4星)	 那时候看着老开心了            
(NA)	 葛优难得演电视剧啊，看的时候就觉得寇老西儿葫芦里的醋特别好喝。            
(4星)	 那时候好喜欢八贤王            
(NA)	 挺逗的……暑假降暑茶            
(NA)	 枫叶红，黄叶飞，自古青春能几许.....红颜最难得知己 初中的时候道别了小学最要好的同学跟最亲密的邻居玩伴，这个词 入我心怀...今天才知道是陈琳唱的 可见触动你的东西 始终会触动你...   那时因为所有这些个戏骨，就觉得 是国产剧的最高水平  极爱葛大爷跟陈道明            
(4星)	 儿时的回忆            
(3星)	 陈道明最烂的演出            
(4星)	 这两腕儿能凑一块不容易啊！            
(NA)	 看过部分，还是冲着子健去的...            
(5星)	 太尼玛好笑了QUQ            
(5星)	 经典            
(NA)	 当年迷死寇老西儿了。。。里面好多大腕呢。。。            
(4星)	 笑死我了~~~哈哈哈            
(NA)	 那个时候的陈道明            
(4星)	 剧情我全忘啦，只记得我是和奶奶一起看的~            
(4星)	 具体记不清了 四星是给我的童年致敬            
(3星)	 剧情狗血，主题曲还不错            
(4星)	 我小时候真觉得挺好看的。            
(4星)	 多少年前的啊 都不记得剧情了 ==            
(NA)	 这片儿对于宋代题材的电视剧在我心里奠定一种阴沉逼仄狭窄的调子有很重要的作用~            
(4星)	 知道了两件事，寇准是个聪明人，山西盛产老陈醋~~            
(3星)	 醋老西儿。            
(4星)	 小学二年级时候看的 不认识&#34;寇&#34;这字 还念&#34;冠&#34;.. 那时候喜欢这个片尾曲 现在听了还是很有感触啊.看了评论 原来大家都很喜欢这个片尾曲啊 哈哈            
(3星)	 “审过葫芦，问过黄瓜，打过城隍，拷过地瓜”，特逗，就是剧情太简单。            
(NA)	 葛大爷就是神             
(5星)	 这才是中国古装剧            
(2星)	 竟然是葛优！            
(4星)	 寇老西儿，赵德芳。            
(2星)	 当时觉得喝醋这段好二……            
(3星)	 小时候看过吧~            
(4星)	 小时候很喜欢看葛优演的这部电视剧，比后来的铁齿铜牙好看多啦            
(4星)	 我对这个剧的印象就这两人了。。。            
(4星)	 还记得歌词，寇老西儿，做大官，做清官……儿时的回忆。            
(5星)	 寇老西儿，不爱酒，不爱钱，老醋一壶你莫嫌            
(4星)	 我最近在看选择些，古但可以回味的电视，现在的电视剧比起快餐，难分上下。            
(3星)	 追忆下童年            
(4星)	 就记得片子八王老被寇准噎...            
(5星)	 这演员阵容！初中看的，巨乐。片头会唱，歌也很可乐，片尾曲子只记得头几句，词在楼下评论里头有人贴了真赞。            
(5星)	 大爱，这是好片            
(3星)	 大腕们集体放松。            
(NA)	 葛优的演技还是不错的            
(4星)	 只记得那首歌很给力～            
(4星)	 总带个醋葫芦的寇老西儿            
(4星)	 肯定看过，但是剧情基本忘记了。            
(4星)	 给我印象最深的台词是：我白刀子进去绿刀子出来，我扎你苦胆……            
(4星)	 葛优陈道明，这多欢乐啊            
(5星)	 挺好看的吖。            
(4星)	 印象中很好玩，庞太师貌似是大辽派来的无间道，还曾经是文武状元的说；记得瞿颖在手帕上绣了两只鸳鸯送给心上人，结果那男的说“这鸭子还挺肥。。。。。”何赛飞的娘娘有点神经兮兮滴            
(4星)	 好小的时候看过。我还记得。哈哈。寇老西儿喜欢喝醋。没事儿就拿个葫芦喝醋。            
(5星)	 好醋！            
(3星)	 回忆            
(5星)	 高处不胜寒  寂寞谁人懂            
(3星)	 最初的八王爷            
