http://movie.douban.com/subject/2377023/	四大名捕
(3星)	 是为毛她们都喜欢个铁手。。追命同学这么萌是拿来干嘛的。。= =            
(4星)	 钟汉良 帅呆了啊             
(4星)	 从正常眼光去看是一般，但从腐的视角上去看是推荐……            
(4星)	 从正常眼光去看是一般，但从腐的视角上去看是推荐……            
(3星)	 我的追命阿啊啊啊啊啊            
(4星)	 唯一可看的 就是钟汉良 蒋勤勤            
(4星)	 追命可爱到爆!!!铁手非常恶心..其他很不出彩=_=..四星都是给小钟的,另严重强力推荐&lt;铁追是怎样炼成的&gt;.            
(3星)	 钟汉良呀钟汉良~~啧啧，求交往。            
(2星)	 哈，铁手和他的四个女人            
(3星)	 喜欢小蝴蝶和被下放到小米县管交通的追正太            
(NA)	 从这里开始认识了钟汉良.这部片子极为大手笔.有多明星但最爱是他.出采的追命.            
(3星)	 我口爱的小哇啊            
(3星)	 为了钟汉良我多给了一颗星。            
(3星)	 啊啊啊迷死追命了！！！            
(NA)	 对仁表兄和钟帅锅印象深刻~~~女主角神马的通通木有印象╮(￣▽￣&#34;)╭            
(3星)	 06年的时候哦。~~~~~钟汉良哦。~~            
(3星)	 我的汉良啊            
(3星)	 王艳好美啊            
(4星)	 帅哥！！！            
(3星)	 名捕被翻拍了好几个版本，相互之间较量着耍帅。            
(3星)	 钟汉良不错啊            
(3星)	 钟汉良胖了 555            
(4星)	 太喜欢钟汉良了            
(3星)	 小哇最帅~            
(NA)	 因为小太阳，因为追命。。其实电视很烂！冷血和无情倒挺有风味。            
(4星)	 追命！            
(5星)	 追命。            
(3星)	 为毛那时候喜欢车仁表，我擦。。            
(3星)	 还中韩联手……            
(4星)	 帅哥多。            
(4星)	 小时候好喜欢追命和小蝴蝶~            
(NA)	 补遗             
(4星)	 钟汉良好帅\(^o^)/~            
(4星)	 追命！追命！            
(4星)	 当年我可爱这部片了，主要是爱车仁表！            
(3星)	 兵馬俑臉車仁表。            
(5星)	 当初我是要有多迷这部剧啊 尼玛 最近又开始温习            
(2星)	 李湘的大脸和黑丝带真让我跳戏            
(NA)	 我真的。。第一次那么恶心王艳- =            
(3星)	 钟汉良加一颗~被棒子减了一颗·哈哈·            
(5星)	 这5星只给小哇            
(2星)	 独孤伊人什么的...雷死了...            
(5星)	 这五星给追命。            
(3星)	 继续打哦            
(3星)	 好像没看完？            
(2星)	 雷            
(3星)	 星星是给小哇的~~话说，这不该叫《四大名捕》而改叫《韩国版铁手的恋爱史》~~            
(NA)	 当时只是一粒幼齿            
(3星)	 当初是看了哪部剧了？搞得我对车仁表这个师奶杀手很有印象            
(2星)	 成本低廉~~            
(NA)	 无情            
(4星)	 古装基友片系列1            
(3星)	 电视剧             
(4星)	 小时候看这部剧，还不知道钟汉良。似乎目光都聚在了车仁表身上。现在因为来不及说我爱你迷上钟汉良，才发现原来那么早就看过他的剧了。            
(3星)	 当年看的就是这个对就是这个。            
(1星)	 一定要打一星来愤慨一下……棒子男主真难看……小哇是唯一的亮点。            
(5星)	 小时候看过的电视剧，钟汉良超萌            
(5星)	 啊当时就爱看帅哥！！！            
(4星)	 小哇小哇            
(NA)	 钟汉良！！！！！            
(3星)	 我记得那时候车仁表很帅呀            
