http://movie.douban.com/subject/2229555/	大唐双龙传 大唐雙龍傳
(4星)	 林峰果然好过吴卓羲太多            
(5星)	 喜欢李倩！            
(5星)	 伍姑娘绝对惊艳，唐宁和杨怡的角色比较做作，比较喜欢玉致~            
(4星)	 寇仲玉致~            
(4星)	 和原著差太多 但是原谅吧 至少粤语版还是能说得通的 比起经过&#34;天朝&#34;的超级剪刀手出品的国语版好太多太多了 凑合吧 我喜欢胡定欣的婠婠            
(4星)	 仲致恋            
(4星)	 喜欢绾绾，喜欢玉致            
(3星)	 独爱玉致……            
(4星)	 绾绾和徐子陵比较萌~TVB剧就是一个穿越啊穿越= =其实主要是人物穿越            
(4星)	 仲致～～            
(NA)	 我喜欢这个电视剧，林峰越看越帅。编剧真好，比黄易的小说好多了。            
(4星)	 比起寇仲，我更喜欢徐子陵            
(4星)	 最后一集是他妈人鬼情未了么。。。。。。又臭又长啊啊啊啊。。。。。            
(4星)	 兄弟情！！！            
(2星)	 因为有大陆的几个女人我就弃了，但是...实在是没电视看了，都补完了港剧...还是看吧。少爷呀，你能不拍这种片子么？我又弃了。20集。            
(3星)	 好讨厌师妃暄～唐宁不适合演这种淑女            
(NA)	 看过？……看过！            
(4星)	 虽然几乎所有的打斗特效都被我快进了 但看到最后一集四个女孩顶着大雪跑到玄武门的时候 还是被结结实实地打中了泪点 之后就不可收拾了            
(4星)	 仲X陵 陵X仲……偶就这么腐了orz||| 囧            
(3星)	 喜欢玉致啊            
(3星)	 無愛無愛            
(5星)	 这部是看宁宁和ROn的造型挺荫的、            
(4星)	 喜欢寇仲和玉致。玉致深入我心啊~~~            
(3星)	 宋玉致！！！！            
(4星)	 人生自是有情痴            
(3星)	 开始很欢乐 后面就无聊了 我要是男的 这4个美女全要！！            
(2星)	 胡定欣大爱 另外在看剧时彭为一直给我宣扬原著 搞得我对石青璇很好奇 对师妃暄很厌恶            
(3星)	 开始添加TVB...            
(3星)	 后20集根本看不下去。            
(3星)	 清新脱俗的师妃暄，古怪精灵的绾绾            
(3星)	 = =从开始看到现在看完快半年了，这部剧也太磨叽了。。。因为美女无数而看这部剧，接着因为唐宁以及胡定欣和李倩，我坚持把它看完了，3星就全给这3个美女吧。。。            
(5星)	 好            
(4星)	 吴同学啊~~            
