http://movie.douban.com/subject/2156738/	三毛流浪记
(4星)	 片尾曲～            
(5星)	 哈哈，童年记忆。            
(4星)	 一直觉得这个三毛得志以后有点讨厌啊，唉，居然是看不得人好，我什么人啊……            
(5星)	 记得当时看到哭            
(NA)	 童年            
(4星)	 在很久很久以前。。。  流浪            
(NA)	 这娃娃长得很乖            
(5星)	 拿眼无子来            
(4星)	 小时候看真的觉得好可怜            
(3星)	 久远回忆            
(4星)	 有点怪诞的儿童片            
(5星)	 那時候真的超愛看哪            
(4星)	 有一集印象是。。我吃坏东西了。。三毛里个三毛刚开始。。我就去拉肚子了。。拉清肚子的时候。。片尾曲响起。。。尼玛 当时看的哭啊那个             
(4星)	 手法挺自如到位的            
(NA)	 三毛三毛，流浪流浪            
(4星)	 孟志超很帅呀。            
(4星)	 备忘Mark。那些年讨论最多的还是三毛的假鼻子，私底下比那三根毛热门多了。            
(3星)	 苦命三毛娃            
(3星)	 没有结局的感觉            
(NA)	 再不流浪就要自杀了。            
(4星)	 放暑假的时候每天连播四集 一连看了四年            
(NA)	 补遗             
(3星)	 脏兮兮的旧旧的            
(3星)	 回忆里想起过去的小时候            
(4星)	 当时就觉得三毛好丑啊            
(3星)	 剧本貌似都是原创的？但是不论在哪，动漫改编成真人的片子成功的例子都不是太多            
(4星)	 标：三宝的曲子、关山的词，配上二十个有激情的年轻演员，搭配出一场出乎意料地好看的原创音乐剧：拍广告现场、医院和卖报三场戏看得我还挺小感动，外加一个很萌还有点雷的烧饼角色……只是让我费解的是这场首演居然上座率很低，而像初恋这样四不像音乐剧反而评价颇高，神马情况啊简直！2012.2.16.保利            
(5星)	 童年啊童年            
(2星)	 一直也不喜欢上海人的做派            
(4星)	 彼時高鑫還不叫高鑫，叫高泓賢，一臉的青澀文弱書生氣。到了《情深深雨濛濛》裏，高鑫依然有鄰家大哥的眉眼和酒窩。            
(5星)	 印象太深了。            
(4星)	 看 哭 過 的 ... 那時 我還小！            
(NA)	 主题曲我到现在还记得！            
(5星)	 旁白很有意思            
(3星)	 一直就不喜欢            
(5星)	 不错            
(NA)	 “我有吃有穿有住有钱不再流浪……”            
(NA)	 很一般            
(4星)	 [昔时所看] 童年时候看的挺悲惨的一部剧了，常常为三毛而叫苦            
(3星)	 好像那时还在幼儿园。。。            
(NA)	 最記得那年準備考級的時候看，被媽媽說了好久~            
(3星)	 可怜            
(4星)	 依然记得父亲让我写《三毛流浪记看后感》……            
(4星)	 可憐的三毛~~可憐的鼻子~~            
(3星)	 播这剧的时候我们班男生体育课上集体哼这主题曲哼得特SB又特可爱。。。            
(NA)	 假了吧唧            
(3星)	 心会真真收紧的痛 啊            
(4星)	 有几集好恐怖！            
(4星)	 都是浮躁的現今再也不可能拍出來的東西了～            
(5星)	 一直记着三毛要被挖掉眼睛换给盲妹的那段剧情，小时候可是经常做噩梦。            
(NA)	 都是小时候的记忆……哎哟喂……            
(4星)	 真的很好笑。            
(NA)	 ==            
(NA)	 跟小伙伴研究了好久鼻子是怎么弄的！            
(5星)	 童年经典啊。记得有一集有个富家太太把三毛的裤子扒下鞭打他的屁股的那一段萌到我了。。。            
(NA)	 反正我小时候听不喜欢三毛的            
(4星)	 小时候看的  忘不了            
(4星)	 小赤佬~            
(4星)	 我……我好喜欢看的……            
(4星)	 清楚记得抹烟灰的桥段 还有陈奇老太太 小学的自然课老师喜欢给我们看 我喜欢那个放满标本有水池的自然实验室            
(2星)	 真不觉得好看            
(4星)	 流浪里个流浪~            
(3星)	 小时候好喜欢看，对他在贼窝生活那几集印象深刻            
(NA)	 一直对三毛很有亲切感。。            
(3星)	 浙江台挺爱播的，印象很深            
(4星)	 小三毛很可爱。记得还是在外婆家看的。            
(5星)	 哇，怎么能忘记你呢             
(4星)	 那根本不是三根毛 是三戳毛            
(NA)	 这是得要有多少的回忆呀             
(NA)	 我始终觉得好阴暗啊肿么能给小孩子看介个。。            
(4星)	 小时候看的            
(4星)	 三毛里个三毛 流浪里个流浪~ 以前谁和我说和这个孟智超是同学一刚！            
(5星)	 我觉得真的演得太好了            
(4星)	 小时候看就觉得很心酸            
(4星)	 小时候居然也会感到揪心            
(4星)	 很喜欢的。            
(4星)	 他现在还在流浪吗？            
(NA)	 三毛哩咯三毛，流浪哩咯流浪，赤脚走过马路哩咯弄堂，三毛哩咯三毛，流浪哩咯流浪，睡在那垃圾箱，饿得我心发慌流浪。主题曲至今依然会唱。小六子，秋生，咸泡饭，小哑巴，大牙，黄大炮....我太伟大了            
(4星)	 讲述老上海曾经的故事...            
(NA)	 当年我瘦的和三毛一样，选演员的时候我爸还打电话去帮我报名            
(4星)	 这个三毛以前住我们弄堂里            
(NA)	 我爱你            
(5星)	 哭过也笑过            
(4星)	 小六子~            
(5星)	 记得当时一边看一边哭一边赶作业来着，一二年级的时候。            
(4星)	 给我童年留下阴影的片子，因为我从来没看到结局            
(4星)	 小时候真是看的不少啊。。。            
(NA)	 谁没看过。            
(5星)	 一放假电视就演            
(5星)	 永远记得坐在炕沿吃着锅巴看他的那个我            
(3星)	 这三毛不知长啥样了。            
(5星)	 那时觉得他好惨的            
(4星)	 三毛很红很红            
(5星)	 三毛三毛～～流浪流浪～～幽默却含泪。。。            
(5星)	 小时候看过            
(NA)	 小时候看过呢            
(NA)	 哈哈            
(NA)	 其实没看过            
(3星)	 儿童剧，童年的回忆            
(5星)	 永远忘不了的三毛~            
(NA)	 这人是储能的            
(NA)	 小时候去哪个亲戚朋友家都是抱着电视机看这部剧，还缠着妈妈一起看。            
(4星)	 当时真的可怜这个小男孩            
(4星)	 就是结尾太左了            
(3星)	 有印象..            
(4星)	 大家小时候应该都看过的            
(4星)	 小时候看三毛看的我心疼啊！就跟看卖火柴的小女孩那个感觉            
(3星)	 聽說這廝現在長得不錯            
(4星)	 谁能忘得了            
(3星)	 小时候看不懂啊。只是感觉这孩子很可怜啊            
(5星)	 孩童眼中的世间百态～            
(NA)	 绝逼是经典中的经典了            
(4星)	 孟智超扮相很不错            
(5星)	 很喜欢的，小时候很迷这个电视剧来着。            
(4星)	 当时看了很庆幸自己生在和平年代            
(3星)	 三毛没有漫画里面的可爱。就记得里面的官太太喜欢码他“小刺老&#34;            
(4星)	 小时候滴回忆            
(4星)	 主人公现在长成小美人了            
(5星)	 三毛，我的三毛啊！！              
