http://movie.douban.com/subject/3197006/	越狱  第四季 Prison Break Season 4
(3星)	 这苦盼四年的结局啊 你如此狗血为哪般？            
(5星)	 人民警察Bellick，第一季横行霸道，第二季处处小心眼处处使坏，第三季被折磨的死去活来，第四季，成了类似于中国传说中的黄继光雷锋那样的人物。当徽章放在他的遗体上，人们不再嘲笑他的愚蠢和阴险。他这就叫死的光荣。            
(4星)	 四年，由牛逼变成了鸡肋，就这样。            
(5星)	 结束了，我该看什么再？            
(NA)	 终于看完了！！这是什么破结局啊！！第一季的石膏飞那么俊！第四季就肥成那样了！55555石膏肥都死了虽然很惨，可是怎么能又把T-BAG给关了呢！！T-BAG啊！！心疼啊~~~一直觉得林肯就是个傻大个，头脑简单四肢发达。            
(4星)	 06年的春节，老张北京回来过年，告诉越狱》好看，于是买碟开始看这部05年八月就开始的剧集，熬夜看，欲罢不能，第一季的精彩让人惊艳..昨晚下完最后两集已经很晚，今晨四时爬起不急待的看了大结局，熟悉的那几张面孔，迈克墓碑的一束花，怀念的音乐，四年的越狱生活就此结束，不免有些怅怅，是对过去日子的念想，陪伴四年的任何人与事都会生出些感怀吧。越狱是我真正看美剧的第一部，也是第一个完整跟完的剧集。0962            
(NA)	 尘埃落定            
(4星)	 我真希望没有这最后两集。。。简直扯淡            
(4星)	 四星给最后一集的插曲            
(4星)	 主要是有帅哥，啥都不说了～ms的儿子还不得被宠上天。。。            
(2星)	 越来越没劲了!看不下去了!            
(5星)	 4年了!            
(5星)	 烂尾==            
(5星)	 finally，越狱回到了扣人心弦的状态            
(NA)	 天妒英才外，英年早逝外。Michael Scofield 最后竟然死了歪。            
(4星)	 尘归尘，土归土，终于折腾完了            
(NA)	 看完第一集后狐狸哥哥忍不住告诉我Michael死了 于是直接跳到最后一集 哭爆了T T             
(5星)	 不是说要说明有关纹身的吗？？怎么没有？？            
(4星)	 为什么看PB？因为Michael。             
(4星)	 终于啊终于            
(5星)	 也算有始有终了，陪我从大学开始，走到结束。            
(NA)	 总算看完了。            
(1星)	 拍的跟他妈七龙珠似的……            
(3星)	 总算看完了 还是挺好看的 除了不去想MC是个gay的事实            
(2星)	 终于拢完了..            
(4星)	 lay it down slow...            
(4星)	 终于完了            
(3星)	 lay it down slow.            
(4星)	 比s2s3好，比s1差点            
(4星)	 终于追完了~陪伴我的大学生涯~~            
(2星)	 正邪混乱的世界观。结局比较众望所归，没有让观众得内伤。            
(5星)	 终于，曲终人散……            
(3星)	 Michael居然死了？这个垃圾编剧 什么跟什么 美剧实在太烂尾了            
(4星)	 势必成为经典。令我怀念。这句话写于2008-09-04，看来没错。该剧是我从头到尾一集不拉看完的第一部美剧。编剧努力的令首尾呼应，结局圆满，不露破绽。起于斯，也终于斯。再也没有prison break，再也没有michael scofield。            
(5星)	 终于完结了            
(3星)	 死并非生的对立面，而是作为生的一部分永存。             
(3星)	 从11集开始。。扯了            
(5星)	 没第一季好看..不过还是看完了            
(NA)	 居然追完了四季            
(NA)	 虽然我不喜欢结局            
(5星)	 结局还不错            
(3星)	 上半季还不错，但下半季明显拖时间。。。实在太扯了。。。以至于让我也拖了不止半年才看完。。但anyway...还是个经典吧 如果它能够在两季里面就结束的话。。。            
(5星)	 2010.6.12-16            
(4星)	 我终于完成了越狱（2006冬-2010春）            
(5星)	 PB s4-22-36:00 Michael&amp;Sara 漫步在海滩 问孩子们什么时候能开始走路 Sara: i&#39;m happy.没有墓碑没有献花 这是我的PB结局 i&#39;m happy 2.            
(1星)	 ME已经看不下去了~            
(5星)	 好不容易看完了            
(5星)	 第四季不亚于第一季。 尽管漏洞无数，PB总算是值得看完的。            
(5星)	 靠，我居然哭了。            
(NA)	 你相信好人有好报吗？？            
(4星)	 尽管后面拍得不尽人意,但它的结束还是给我一种一个所谓越狱时代的结束,事实上,我们总伤感于已逝去的事物            
(4星)	 结束吧 结束了            
(4星)	 终于看完了。            
(4星)	 总算有点第一季的样子，反正主题是“金钱诚可贵，自由价更高”。不管Sara回来了还是怎么样，看到最后还是看烦了。            
(NA)	 囧囧囧好讨厌bad ending[这对我就算bad ending]啊囧囧囧我想看胖michael被T-Bag推倒囧囧囧囧囧我要喜剧&gt;。&lt;！！！            
(2星)	 大量不合理的情节漏洞出现，降低了观看快感。已经完全沦落到为了编剧而编剧。            
(4星)	 《碟中谍》版越狱            
(3星)	 fat pretty~            
(4星)	 终于看完了            
(NA)	 Mahone咋跟她了呢！！！！            
(4星)	 五天看完四季....我疯了～            
(3星)	 完啦？完了！            
(5星)	 Michael是個好男人！            
(4星)	 结局很淡。。。很淡。。很淡。。很淡。。。。。。            
(4星)	 终于结束了！！！            
(4星)	 be the change you want to see in the world.            
(NA)	 不管怎么样 都是结束了            
(NA)	 Michael的死期居然是我的生日，晕            
(4星)	 呼～终于结束了！            
(NA)	 居然就这样过了三年            
(NA)	 没想到麦克最后竟然死了。            
(NA)	 ！.........。            
(3星)	 four years of PB, now it&#39;s memory            
(2星)	 是的，我居然看完了。            
(NA)	 终于结束了 2009-5-16            
(4星)	 大学生涯的一个标志性符号             
(4星)	 终于，结束了。。。结局很美。。。            
(5星)	 越狱就要越到底，看美剧就要看到最后            
(4星)	 断断续续啊。不过还是萌Mahone。            
(3星)	 看到第17集。            
(3星)	 2009-4-23 17.宁愿不知道结尾，随便瞎掰去吧            
(2星)	 遭心的第四季，该死的编剧终于闹腾完老。典型的虎头蛇尾。不过最后一集看煽情。也许因为再也不会有了。            
(4星)	 上帝是必须要死的 ── 致Michael Scofield            
(3星)	 虽然断断续续，但也是第一部从头追到尾的美剧。。就这么结束了，心里空荡荡的。            
(5星)	 再见MS。再见PB。            
(NA)	 看的都吐了，麦克不要活过来了            
(3星)	 难道要完全颠覆，从头再来？不断推出新人物是美剧一贯的做法，编剧啊~你在凑集数么？最后还是回到原点，既没拯救世界也没改变自身，是我的想法太主旋律了吗？我小弟问我：第一季的典狱长是迈克他亲爸吧？            
(5星)	 讲越狱成员复仇搞跨公司和幕后首脑，大结局的四年后部分十分唯美地交代了每个人最后的最后，可惜Micheal死了，也许太厉害的人终究无办法享受完美。特意搞的终结版还算精彩，为匆匆收尾的情节做了补完。四季，越狱终于结束了。            
(1星)	 越看越觉得无聊，越了N季了            
(1星)	 我居然看掉了，太kuso了，脱离情节了，变成一般的警匪片了            
(4星)	 紧张有时让你忽略很多            
(5星)	 最后一集哭了            
(4星)	 我说中国能不能整部像PB一样的电视剧给大伙儿看看。            
(4星)	 我真空了。            
(5星)	 ..........            
(5星)	 终于结束了……            
(NA)	 追ing～渐渐就忘了            
(4星)	 终于有了精彩大结局了..            
(4星)	 比第三季强多了            
(2星)	 越来越烂            
(4星)	 eventually            
(5星)	 PB&#39;s over with a beautiful song.            
(3星)	 似乎是有點起色的說~            
(2星)	 终于完了,解脱了            
(4星)	  麻痹，我不接受MS死了。麻痹麻痹！！！            
(3星)	 终于结局了，怎么Michael就死了。            
(3星)	 狗尾巴            
(4星)	 比三季有所回归            
(4星)	 尘归尘，土归土。敌对阵营老死不相往来。            
(4星)	 我坚持了那么久~还是看不下去了            
(5星)	 终于看完这部4年，唯一的一次的这么的关注这个美剧。结果不能说不是完美。可是和很多人想到。为什么导演叫迈克的离开。大家都有幸福的开始。而他们。凭什么。我不理解。            
(4星)	 终于从在看改成了看过……结束了，终于结束了            
(4星)	 看到第六集了            
(4星)	 前几集还是很不错的，后面绕得有点过，结局收的比较潦草。            
(5星)	 over 16            
(4星)	 第4季            
(4星)	 结局很美。。。            
(NA)	 第四季~没有新鲜感了~其实还是要夸下写剧本滴~            
(4星)	 期待第五季。感覺看這個好像看偵探劇哦。~            
(NA)	 他说出 我们终于自由的时候  眼神是骄傲的  也是疲惫的  人生太过劳烦 要经历多少次遭难 多少的艰难险阻才能说出那句一开始就应该说的肺腑之言            
(3星)	 当我用四年的时间看完这样一部美剧，忽然有种大大的失落笼罩住我。这四年对我来说变化太多，就像剧中的Scofield从最初的大智大勇到最后被现实拖着举步维坚。我不知道这样的结束算不算圆满，可能现实就是这样，让我们笑着却又要堆积着无数的泪～            
(5星)	 lay it down slow.   lay it down free.    lay it down easy.    but lay it on me.             
(3星)	 向内地电视剧看齐            
(NA)	 大学生活注脚美剧。            
(5星)	 free at last,we are free……            
(3星)	 Michael死得很狗血。。。Sucre的复出还是那么可爱~~            
(5星)	 Prey for u,Micheal~            
(3星)	 开头还凑合呢~~            
(3星)	 终于他妈看完了！            
(3星)	 世界是个大监狱，你们慢慢玩～            
(3星)	 我们要的都是结束。这件事。            
(5星)	 亲情价无敌！            
(4星)	 9.6---5.18.09            
