http://movie.douban.com/subject/2085721/	小龙人
(4星)	 小时候一直没搞明白小龙人到底是男是女？            
(5星)	 我头上有犄角            
(3星)	 我有一个小秘密，就不告诉你，就不告诉你，就 不 告 诉 你~            
(4星)	 看看当年儿童剧这创意，牛b大发了            
(5星)	 头上有鸡脚~鸡脚~~            
(NA)	 贝贝家有电脑。贝贝妈说“按科学的讲法，生男孩是你的事儿”。每集只有三十分钟。小龙人是金龟子配音的。据说陈嘉男后来一直长不出眉毛来了。剧中多次出现的喜乐乳品是赞助商。制作人员名单里有黄建新。我第一次看到天安门应该是在此剧中。            
(5星)	 没看过等于没童年白活了            
(5星)	 经典...我头上有犄角...我身后有尾巴...谁也不知道...我有多少秘密...            
(3星)	 曾经囧过            
(5星)	 就不告诉你 就不告诉你 就.不..告诉你            
(4星)	 我有一个小秘密，就不告诉你，就~不~告~诉~你~            
(3星)	 六年级看的。那时候晚自习一下课就飞奔回家。前边非常棒，小翠婆婆。后边就没什么意思了。            
(NA)	 。。。。。。。这歌啊哈哈哈            
(4星)	 誰給我唱唱那歌啊........小龍人變成石像的時候有多悲傷...            
(4星)	 忘了情节了，好像几个人都特别爱看《鼹鼠的故事》            
(3星)	 我还没有上学就看了。            
(4星)	 我没看到结局。            
(5星)	 我有许多小MIMI。。            
(4星)	 小龙人有没有找到妈妈？怎么记忆里是个悲剧呢？            
(4星)	 前一阵还看过~            
(NA)	 虽然情节已经不记得了 但是怀念            
(5星)	 就不告诉你            
(4星)	 想不到这么多人力荐这电视剧那时候小孩儿都闹着喝喜乐就是这电视剧的功劳            
(4星)	 小时候喜欢 现在在看觉着一般            
(4星)	 里面的两样吃的特别怀念...还有结局是什么我不记得了...            
(NA)	 经典啊            
(5星)	 童年的经典！不过现在也忘得差不多了，只记得是找妈妈的故事，哎，终于还是要长大~~            
(5星)	 我头上有犄角 犄角 哈哈哈             
(NA)	 小时候啊小时候            
(5星)	 我有许多小秘密~~            
(5星)	 我的童年啊，莫名的想哭啊。。            
(5星)	 都市冒险剧            
(4星)	 童年。            
(4星)	 幼儿园，坐在我爷爷腿上看着黑白电视            
(NA)	 麦圈是很贵的~            
(5星)	 谁也比不了你让我难受。            
(5星)	 小时候超爱看            
(4星)	 我有一个小MM            
(5星)	 童年啊。            
(NA)	 就不告诉你.            
(5星)	 那首歌，哈哈……            
(NA)	 我头上有犄角 犄角 我身后有尾巴 尾巴             
